Category,Task,When,Status,Notes
Pass decision,Write down every intercity journey,Before booking,Not started,
Pass decision,Check individual-ticket total on official booking sites,Before booking,Not started,
Pass decision,Compare the total with the pass price for every traveller,Before booking,Not started,
Eligibility,Confirm passport and Temporary Visitor requirements,Before purchase,Not started,
Coverage,Check every route against the operator coverage map,Before purchase,Not started,
Coverage,Check excluded trains and required supplements,Before purchase,Not started,
Reservation,Reserve trains with all-reserved seating,One month before travel,Not started,
Luggage,Reserve an oversized-baggage seat when required,One month before travel,Not started,
Pickup,Prepare passport reservation number and payment card,Before arrival,Not started,
Backup,Save operator support and disruption pages,Before departure,Not started,
