地区,抓取日期,公司名,车票名称,目录发售期间,详情页标题,相关信息,咨询,自由乘车区间,可利用设备,限制事项,价格,有效期间,详情发售期间,利用期间,发售处,其他详情字段,详情全文,详情页链接,详情页内链接,详情页图片链接,目录页链接,抓取错误
北海道,2026-05-26,ＪＲ北海道,北海道フリーパス,発売中,北海道フリーパス,ＪＲ北海道,ＪＲ北海道：,,北海道新幹線在来線特急・急行列車快速・普通ジェイ・アール北海道バス グリーン車普通車個室普通車指定普通車自由ライナー指定SL自由 ×▲▲△○▲△▲○○ ○：乗車可 / △：６回まで利用可。７回以上は乗車券のみ有効 / ▲：乗車券のみ有効 ×：乗車不可 /,"特急の普通車指定席を６回まで利用可。 座席未指定券を発売する特急列車に乗車する場合は、きっぷ本券のみで「普通車指定席の空いている席」を利用できる 北海道新幹線は利用不可 ジェイ・アール北海道バス線のうち、札幌～旭川・帯広・紋別・キロロ・広尾間,苫小牧～えりも間の都市間バス及び臨時バス路線は利用不可。札幌～小樽間の高速バスは、ジェイ・アール北海道バス便に限り乗車可","販売大人小人 窓口29,000円－ えきねっと28,000円－",７日,通年,通年 / ただし、4月27日～5月6日、8月10日～19日、12月28日～1月6日は利用不可。,ＪＲ北海道の主な駅,,"北海道フリーパス || 関連情報 | ＪＲ北海道 || 問合わせ | ＪＲ北海道： || フリー区間 || 利用可能設備 | 北海道新幹線在来線特急・急行列車快速・普通ジェイ・アール北海道バス グリーン車普通車個室普通車指定普通車自由ライナー指定SL自由 ×▲▲△○▲△▲○○ ○：乗車可 / △：６回まで利用可。７回以上は乗車券のみ有効 / ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 特急の普通車指定席を６回まで利用可。 座席未指定券を発売する特急列車に乗車する場合は、きっぷ本券のみで「普通車指定席の空いている席」を利用できる 北海道新幹線は利用不可 ジェイ・アール北海道バス線のうち、札幌～旭川・帯広・紋別・キロロ・広尾間,苫小牧～えりも間の都市間バス及び臨時バス路線は利用不可。札幌～小樽間の高速バスは、ジェイ・アール北海道バス便に限り乗車可 || ねだん | 販売大人小人 窓口29,000円－ えきねっと28,000円－ || 有効期間 | ７日 || 発売期間 | 通年 || 利用期間 | 通年 / ただし、4月27日～5月6日、8月10日～19日、12月28日～1月6日は利用不可。 || 発売箇所 | ＪＲ北海道の主な駅",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido01.htm,https://www.jrhokkaido.co.jp/CM/Otoku/007218/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido01.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
北海道,2026-05-26,ＪＲ北海道,北海道まんなか のんびり列車パス,2026/4/18 / ～11/8,北海道まんなか のんびり列車パス,ＪＲ北海道,ＪＲ北海道：,北海道まんなか のんびり列車パス,北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×××××▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,特急・急行列車には乗車不可。,"券種大人小人 1日間用3,300円1,650円 2日間用5,600円2,800円 3日間用6,900円3,450円",１日／２日／３日,1日間用 2026年4月18日～2026年11月8日 / 2日間用 2026年4月18日～2026年11月7日 / 3日間用 2026年4月18日～2026年11月6日 /,2026年4月18日～2026年11月8日 /,JR北海道ePass,,"北海道まんなか のんびり列車パス || 関連情報 | ＪＲ北海道 || 問合わせ | ＪＲ北海道： || フリー区間 | 北海道まんなか のんびり列車パス || 利用可能設備 | 北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×××××▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 特急・急行列車には乗車不可。 || ねだん | 券種大人小人 1日間用3,300円1,650円 2日間用5,600円2,800円 3日間用6,900円3,450円 || 有効期間 | １日／２日／３日 || 発売期間 | 1日間用 2026年4月18日～2026年11月8日 / 2日間用 2026年4月18日～2026年11月7日 / 3日間用 2026年4月18日～2026年11月6日 / || 利用期間 | 2026年4月18日～2026年11月8日 / || 発売箇所 | JR北海道ePass",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido11.htm,https://app.jrhokkaido-epass.jp/tabs/home | https://www.jrhokkaido.co.jp/CM/Otoku/007247/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido11.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
北海道,2026-05-26,ＪＲ北海道,一日散歩きっぷ,2026/4/18 / ～11/8,一日散歩きっぷ,ＪＲ北海道,ＪＲ北海道：,一日散歩きっぷ,北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×××××▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,特急・急行列車には乗車不可。 新夕張－新得間のみを利用する場合、同区間の特急普通車自由席に乗車可。,"大人：2,730円／小人：1,360円",１日,2026年4月18日～2026年11月8日までの土曜・休日 / 乗車当日朝から発売,2026年4月18日～2026年11月8日までの土曜・休日 /,"小樽,南小樽,小樽築港,銭函,星置,手稲,稲積公園,発寒,発寒中央,琴似,桑園,札幌,苗穂,白石,厚別,森林公園,大麻,野幌,高砂,江別,幌向,岩見沢,八軒,新川,新琴似,篠路,拓北,あいの里教育大,石狩当別,平和,新札幌,上野幌,北広島,島松,恵み野,恵庭,千歳",,"一日散歩きっぷ || 関連情報 | ＪＲ北海道 || 問合わせ | ＪＲ北海道： || フリー区間 | 一日散歩きっぷ || 利用可能設備 | 北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×××××▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 特急・急行列車には乗車不可。 新夕張－新得間のみを利用する場合、同区間の特急普通車自由席に乗車可。 || ねだん | 大人：2,730円／小人：1,360円 || 有効期間 | １日 || 発売期間 | 2026年4月18日～2026年11月8日までの土曜・休日 / 乗車当日朝から発売 || 利用期間 | 2026年4月18日～2026年11月8日までの土曜・休日 / || 発売箇所 | 小樽,南小樽,小樽築港,銭函,星置,手稲,稲積公園,発寒,発寒中央,琴似,桑園,札幌,苗穂,白石,厚別,森林公園,大麻,野幌,高砂,江別,幌向,岩見沢,八軒,新川,新琴似,篠路,拓北,あいの里教育大,石狩当別,平和,新札幌,上野幌,北広島,島松,恵み野,恵庭,千歳",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido13.htm,https://www.jrhokkaido.co.jp/CM/Otoku/007248/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jrhokkaido13.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido13.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
北海道,2026-05-26,ＪＲ北海道,ラベンダーフリーパス,終了,ラベンダーフリーパス,ＪＲ北海道,ＪＲ北海道：,ラベンダーパス,在来線特急列車本州寝台特急急行快速・普通 グリーン車普通車個室普通車指定普通車自由普通車指定普通車自由Ｂ寝台ライナー指定自由 ▲▲▲▲－－－－▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 －：適用外 /,特急列車は別途特急料金が必要。(乗車券のみ有効) 普通列車指定席を利用する場合は別途指定席券が必要。,"大人：3,050円／小人：1,520円",１日,2025年3月26日～2025年10月13日,2025年4月26日～2025年10月13日,"JR北海道の主な駅の指定席券売機,みどりの窓口 / 旅行センター及び主な旅行会社",,"ラベンダーフリーパス || 関連情報 | ＪＲ北海道 || 問合わせ | ＪＲ北海道： || フリー区間 | ラベンダーパス || 利用可能設備 | 在来線特急列車本州寝台特急急行快速・普通 グリーン車普通車個室普通車指定普通車自由普通車指定普通車自由Ｂ寝台ライナー指定自由 ▲▲▲▲－－－－▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 －：適用外 / || 制限事項 | 特急列車は別途特急料金が必要。(乗車券のみ有効) 普通列車指定席を利用する場合は別途指定席券が必要。 || ねだん | 大人：3,050円／小人：1,520円 || 有効期間 | １日 || 発売期間 | 2025年3月26日～2025年10月13日 || 利用期間 | 2025年4月26日～2025年10月13日 || 発売箇所 | JR北海道の主な駅の指定席券売機,みどりの窓口 / 旅行センター及び主な旅行会社",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido22.htm,https://www.jrhokkaido.co.jp/CM/Otoku/007145/ | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido11.htm,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jrhokkaido22.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido22.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
北海道,2026-05-26,ＪＲ北海道,大人の休日倶楽部パス（北海道）,2026/5/23 / ～6/29,大人の休日倶楽部パス（北海道）,普通車用：ＪＲ北海道 ＪＲ東日本 / グリーン車用：ＪＲ北海道 ＪＲ東日本 / ＪＲ東日本・大人の休日倶楽部,ＪＲ北海道：,大人の休日倶楽部パス（北海道）,東海道新幹線北海道新幹線東北･秋田･山形 / 上越･北陸新幹線在来線特急/急行快速・普通ＢＲＴ Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用×××▲▲▲△○▲▲▲△○－ グリーン車用×××▲▲△△○△○△△○－ ○：乗車可 △：合計６回まで利用可 ▲：乗車券のみ有効 / ×：乗車不可,大人の休日倶楽部会員限定。購入時・利用時に大人の休日倶楽部会員証の提示が必要。 指定席は6回まで利用可。 指定席の変更は列車出発前１回に限り変更可能。 グリーン席・寝台利用時は、グリーン料金・寝台料金のほか、特急料金も必要。,"大人の休日倶楽部会員限定 購入場所グリーン車用普通車用 えきねっと36,050円18,070円 窓口 設定なし19,070円",５日間,利用開始日の1ヵ月前から前日まで / 2026年5月23日～2026年6月29日 / 2026年7月3日～2026年9月7日 / 2026年12月18日～2027年1月25日 /,2026年6月22日～2026年7月4日 / 2026年8月31日～2026年9月12日 / 2026年1月18日～2027年1月30日 /,えきねっと / JR北海道の主な駅のみどりの窓口,"{""発売枚数"": ""大人の休日倶楽部パス (東日本,東日本・北海道,北海道)の合計で、 普通車用：30,000枚/日、グリーン車用：1,000枚/期間""}","大人の休日倶楽部パス（北海道） || 関連情報 | 普通車用：ＪＲ北海道 ＪＲ東日本 / グリーン車用：ＪＲ北海道 ＪＲ東日本 / ＪＲ東日本・大人の休日倶楽部 || 問合わせ | ＪＲ北海道： || フリー区間 | 大人の休日倶楽部パス（北海道） || 利用可能設備 | 東海道新幹線北海道新幹線東北･秋田･山形 / 上越･北陸新幹線在来線特急/急行快速・普通ＢＲＴ Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用×××▲▲▲△○▲▲▲△○－ グリーン車用×××▲▲△△○△○△△○－ ○：乗車可 △：合計６回まで利用可 ▲：乗車券のみ有効 / ×：乗車不可 || 制限事項 | 大人の休日倶楽部会員限定。購入時・利用時に大人の休日倶楽部会員証の提示が必要。 指定席は6回まで利用可。 指定席の変更は列車出発前１回に限り変更可能。 グリーン席・寝台利用時は、グリーン料金・寝台料金のほか、特急料金も必要。 || ねだん | 大人の休日倶楽部会員限定 購入場所グリーン車用普通車用 えきねっと36,050円18,070円 窓口 設定なし19,070円 || 有効期間 | ５日間 || 発売期間 || 発売期間 | 利用開始日の1ヵ月前から前日まで / 2026年5月23日～2026年6月29日 / 2026年7月3日～2026年9月7日 / 2026年12月18日～2027年1月25日 / || 利用期間 | 2026年6月22日～2026年7月4日 / 2026年8月31日～2026年9月12日 / 2026年1月18日～2027年1月30日 / || 発売箇所 | えきねっと / JR北海道の主な駅のみどりの窓口 || 発売枚数 | 大人の休日倶楽部パス (東日本,東日本・北海道,北海道)の合計で、 普通車用：30,000枚/日、グリーン車用：1,000枚/期間",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido54.htm,https://jre-ot9.jp/ticket/clubpass.html#overview | https://www.eki-net.com/Personal/reserve/wb/GainTicketSearchConditionsInput/Index,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido01.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
北海道,2026-05-26,ＪＲ北海道,大人の休日パス(北海道スペシャル),終了,大人の休日パス 北海道スペシャル,普通列車用 ＪＲ北海道 ＪＲ東日本 / グリーン車用 ＪＲ北海道 ＪＲ東日本 / ＪＲ東日本・大人の休日倶楽部 /,ＪＲ北海道：,大人の休日パス（北海道スペシャル）,東海道新幹線北海道新幹線東北･秋田･山形 / 上越･長野新幹線在来線特急/急行快速・普通ＢＲＴ Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用×××▲▲▲△○▲▲▲△○○ グリーン車用×××▲▲△△○△△▲△○○ ○：乗車可 △：合計６回まで利用可 / ▲：乗車券のみ有効 ×：乗車不可,大人の休日倶楽部会員限定。 指定席は6回まで利用可。 指定席の変更は列車出発前１回に限り変更可能。 グリーン席・寝台利用時は、グリーン料金・寝台料金のほか、特急料金も必要。,"大人の休日倶楽部会員 / 普通車用：18,070円 グリーン車用：36,050円",利用期間内の連続する５日間,2025年8月25日～2025年9月29日,2025年9月25日～2025年10月4日,えきねっと,,"大人の休日パス 北海道スペシャル || 関連情報 | 普通列車用 ＪＲ北海道 ＪＲ東日本 / グリーン車用 ＪＲ北海道 ＪＲ東日本 / ＪＲ東日本・大人の休日倶楽部 / || 問合わせ | ＪＲ北海道： || フリー区間 | 大人の休日パス（北海道スペシャル） || 利用可能設備 | 東海道新幹線北海道新幹線東北･秋田･山形 / 上越･長野新幹線在来線特急/急行快速・普通ＢＲＴ Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用×××▲▲▲△○▲▲▲△○○ グリーン車用×××▲▲△△○△△▲△○○ ○：乗車可 △：合計６回まで利用可 / ▲：乗車券のみ有効 ×：乗車不可 || 制限事項 | 大人の休日倶楽部会員限定。 指定席は6回まで利用可。 指定席の変更は列車出発前１回に限り変更可能。 グリーン席・寝台利用時は、グリーン料金・寝台料金のほか、特急料金も必要。 || ねだん | 大人の休日倶楽部会員 / 普通車用：18,070円 グリーン車用：36,050円 || 有効期間 | 利用期間内の連続する５日間 || 発売期間 | 2025年8月25日～2025年9月29日 || 利用期間 | 2025年9月25日～2025年10月4日 || 発売箇所 | えきねっと",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido55.htm,https://jre-ot9.jp/ticket/?header_link#special2309 | https://www.eki-net.com/personal/top/index | https://www.jrhokkaido.co.jp/CM/Otoku/007149/ | https://www.jrhokkaido.co.jp/CM/Otoku/007150/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido01.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
北海道,2026-05-26,ＪＲ北海道,はこだて旅するパスポート,～2027/3/31,はこだて旅するパスポート,ＪＲ北海道 函館市企業局交通部 / 道南いさりび鉄道 函館バス,ＪＲ北海道：,はこだて旅するパスポート,北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"券種大人小人 1日用きっぷ版3,000円1,500円 電子チケット3,000円1,500円 2日用きっぷ版4,500円2,250円 電子チケット4,500円2,250円",,,,"きっぷ版：函館,五稜郭,七飯,大沼公園,森,八雲,長万部,奥津軽いまべつ,木古内,新函館北斗 / 電子チケット：「DohNa!!」 /",,"はこだて旅するパスポート || 関連情報 | ＪＲ北海道 函館市企業局交通部 / 道南いさりび鉄道 函館バス || 問合わせ | ＪＲ北海道： || フリー区間 | はこだて旅するパスポート || 利用可能設備 | 北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 券種大人小人 1日用きっぷ版3,000円1,500円 電子チケット3,000円1,500円 2日用きっぷ版4,500円2,250円 電子チケット4,500円2,250円 || 発売箇所 | きっぷ版：函館,五稜郭,七飯,大沼公園,森,八雲,長万部,奥津軽いまべつ,木古内,新函館北斗 / 電子チケット：「DohNa!!」 /",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido91.htm,https://hakobus.co.jp/visitors/tourist-passes/#section-h3-04 | https://sp.cstm.dohna.jp/tabs/home/merchandises/select-ticket?agency-id=4430001022657&item=HKD-Freepass-2025 | https://www.cithttps://www.shr-isaribi.jp/ticket-guide/otoku/y.hakodate.hokkaido.jp/docs/2014012100977/#tabipass | https://www.city.hakodate.hokkaido.jp/docs/2014012100977/#tabipass | https://www.jrhokkaido.co.jp/CM/Otoku/007200/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jrhokkaido91.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido91.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
北海道,2026-05-26,ＪＲ北海道,Peachひがし北海道フリーパス,2026/4/1 / ～2027/3/31,Peachひがし北海道フリーパス,ＪＲ北海道 ＪＲ北海道,ＪＲ北海道：,Peachひがし北海道フリーパス,北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×▲△▲○▲▲△○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / △：合計5回まで利用可能 －：設定なし,"2026年4月27日～2026年5月6日,2026年8月10日～2026年8月19日,2026年12月28日～2027年1月6日は利用できない。 U25用は購入時に年齢を確認できる公的機での証明書必要","大人：20,810円／U25(25歳以下)：16,950円",4日間,2026年4月1日～2027年3月31日,2026年4月1日～2027年4月4日 / 購入当日もしくは翌日から有効 /,新千歳空港駅の指定席券売機、話せる券売機,,"Peachひがし北海道フリーパス || 関連情報 | ＪＲ北海道 ＪＲ北海道 || 問合わせ | ＪＲ北海道： || フリー区間 | Peachひがし北海道フリーパス || 利用可能設備 | 北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×▲△▲○▲▲△○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / △：合計5回まで利用可能 －：設定なし || 制限事項 | 2026年4月27日～2026年5月6日,2026年8月10日～2026年8月19日,2026年12月28日～2027年1月6日は利用できない。 U25用は購入時に年齢を確認できる公的機での証明書必要 || ねだん | 大人：20,810円／U25(25歳以下)：16,950円 || 有効期間 | 4日間 || 発売期間 | 2026年4月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年4月4日 / 購入当日もしくは翌日から有効 / || 発売箇所 | 新千歳空港駅の指定席券売機、話せる券売機",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido93.htm,https://www.jrhokkaido.co.jp/CM/Otoku/007245/ | https://www.jrhokkaido.co.jp/travel/freepass/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jrhokkaido94.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido93.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
北海道,2026-05-26,ＪＲ北海道,FDAひがし北海道フリーパス,2026/4/1 / ～2027/3/31,FDAひがし北海道フリーパス,ＪＲ北海道 ＪＲ北海道 FDA,ＪＲ北海道：,FDAひがし北海道フリーパス,北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×▲△▲○▲▲△○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / △：合計5回まで利用可能 －：設定なし,"2026年4月27日～2026年5月6日,2026年8月10日～2026年8月19日,2026年12月28日～2027年1月6日は利用できない。 U25用は購入時に年齢を確認できる公的機での証明書必要","大人：20,810円／U25(25歳以下)：16,950円",4日間,2026年4月1日～2027年3月31日,2026年4月1日～2027年4月4日 / 購入当日もしくは翌日から有効 /,新千歳空港駅の指定席券売機、話せる券売機,,"FDAひがし北海道フリーパス || 関連情報 | ＪＲ北海道 ＪＲ北海道 FDA || 問合わせ | ＪＲ北海道： || フリー区間 | FDAひがし北海道フリーパス || 利用可能設備 | 北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×▲△▲○▲▲△○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / △：合計5回まで利用可能 －：設定なし || 制限事項 | 2026年4月27日～2026年5月6日,2026年8月10日～2026年8月19日,2026年12月28日～2027年1月6日は利用できない。 U25用は購入時に年齢を確認できる公的機での証明書必要 || ねだん | 大人：20,810円／U25(25歳以下)：16,950円 || 有効期間 | 4日間 || 発売期間 | 2026年4月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年4月4日 / 購入当日もしくは翌日から有効 / || 発売箇所 | 新千歳空港駅の指定席券売機、話せる券売機",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido87.htm,https://www.fujidream.co.jp/campaign/hokkaido-freepass/ | https://www.jrhokkaido.co.jp/CM/Otoku/007245/ | https://www.jrhokkaido.co.jp/travel/freepass_fda/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido93.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
北海道,2026-05-26,ＪＲ北海道,Peachきた北海道フリーパス,2026/4/1 / ～2027/3/31,Peachきた北海道フリーパス,ＪＲ北海道 ＪＲ北海道,ＪＲ北海道：,Peachきた北海道フリーパス,北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×▲△▲○▲▲△○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / △：合計5回まで利用可能 －：設定なし,"2026年4月27日～2026年5月6日,2026年8月10日～2026年8月19日,2026年12月28日～2027年1月6日は利用できない。 U25用は購入時に年齢を確認できる公的機での証明書必要","大人：16,670円／U25(25歳以下)：13,990円",3日間,2026年4月1日～2027年3月31日,2026年4月1日～2027年4月3日 / 購入当日もしくは翌日から有効 /,新千歳空港駅の指定席券売機、話せる券売機,,"Peachきた北海道フリーパス || 関連情報 | ＪＲ北海道 ＪＲ北海道 || 問合わせ | ＪＲ北海道： || フリー区間 | Peachきた北海道フリーパス || 利用可能設備 | 北海道新幹線特急・急行快速・普通 グリーン車指定自由立席ライナーＳＬ指定自由 ×▲△▲○▲▲△○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / △：合計5回まで利用可能 －：設定なし || 制限事項 | 2026年4月27日～2026年5月6日,2026年8月10日～2026年8月19日,2026年12月28日～2027年1月6日は利用できない。 U25用は購入時に年齢を確認できる公的機での証明書必要 || ねだん | 大人：16,670円／U25(25歳以下)：13,990円 || 有効期間 | 3日間 || 発売期間 | 2026年4月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年4月3日 / 購入当日もしくは翌日から有効 / || 発売箇所 | 新千歳空港駅の指定席券売機、話せる券売機",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrhokkaido95.htm,https://www.jrhokkaido.co.jp/CM/Otoku/007015/ | https://www.jrhokkaido.co.jp/travel/freepass/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrhokkaido95.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/hokkaido.htm,
