地区,抓取日期,公司名,车票名称,目录发售期间,详情页标题,相关信息,咨询,自由乘车区间,可利用设备,限制事项,价格,有效期间,详情发售期间,利用期间,发售处,其他详情字段,详情全文,详情页链接,详情页内链接,详情页图片链接,目录页链接,抓取错误
近畿,2026-05-26,ＪＲ西日本,ONE KANSAI 奈良デジタル周遊フリーパス,2026/3/20 / ～2027/3/30,ONE KANSAI / 奈良デジタル周遊フリーパス,KANSAI MaaS ＪＲ西日本 /,ＪＲ西日本：,ONE KANSAI 奈良デジタル周遊フリーパス,東海道新幹線山陽新幹線北陸新幹線在来線特急・急行 *1快速・普通 グリーン車普通車指定普通車自由グランクラスグリーン車普通車指定普通車自由寝台車グリーン車普通車指定普通車自由立席グリーン車指定グリーン車自由ライナー指定自由 ×××××××××▲▲▲▲×××▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / *1：「サンライズ瀬戸」「サンライズ出雲」「WEST EXPRESS 銀河」「はなあかり」は全設備不可,継続乗車は、午前０時を過ぎて最初に停車する駅まで有効。電車特定区間内では最終列車まで有効。,"大人：3,600円 /",2日間,2026年3月20日～2027年3月30日 /,2026年4月1日～2027年3月31日 /,「KANSAI MaaS」,,"ONE KANSAI / 奈良デジタル周遊フリーパス || 関連情報 | KANSAI MaaS ＪＲ西日本 / || 問合わせ | ＪＲ西日本： || フリー区間 | ONE KANSAI 奈良デジタル周遊フリーパス || 利用可能設備 | 東海道新幹線山陽新幹線北陸新幹線在来線特急・急行 *1快速・普通 グリーン車普通車指定普通車自由グランクラスグリーン車普通車指定普通車自由寝台車グリーン車普通車指定普通車自由立席グリーン車指定グリーン車自由ライナー指定自由 ×××××××××▲▲▲▲×××▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / *1：「サンライズ瀬戸」「サンライズ出雲」「WEST EXPRESS 銀河」「はなあかり」は全設備不可 || 制限事項 | 継続乗車は、午前０時を過ぎて最初に停車する駅まで有効。電車特定区間内では最終列車まで有効。 || ねだん | 大人：3,600円 / || 有効期間 | 2日間 || 発売期間 | 2026年3月20日～2027年3月30日 / || 利用期間 | 2026年4月1日～2027年3月31日 / || 発売箇所 | 「KANSAI MaaS」",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest154.htm,https://app.kansai-maas.jp/tickets/KMKT100500 | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000087,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest165.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
近畿,2026-05-26,ＪＲ西日本,ONE KANSAI 大阪スマートアクセスパス,2025/10/17 / ～2026/5/31,ONE KANSAI 大阪スマートアクセスパス,Osaka Metro JR西日本,Osaka Metro TEL:050-3355-8208,ONE KANSAI 大阪スマートアクセスパス,,,"大人：1,000円",1日間,2025年10月17日～2027年3月31日,2025年11月1日～2027年3月31日,KANSAI MaaS,,"ONE KANSAI 大阪スマートアクセスパス || 関連情報 | Osaka Metro JR西日本 || 問合わせ | Osaka Metro TEL:050-3355-8208 || フリー区間 | ONE KANSAI 大阪スマートアクセスパス || 制限事項 || ねだん | 大人：1,000円 || 有効期間 | 1日間 || 発売期間 | 2025年10月17日～2027年3月31日 || 利用期間 | 2025年11月1日～2027年3月31日 || 発売箇所 | KANSAI MaaS",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/osaka_maas_01.htm,https://app.kansai-maas.jp/tickets/KMOM100300 | https://subway.osakametro.co.jp/guide/fare/category_digital_tickets/digital_tickets/digital_joshaken.php#onekansai | https://www.jr-odekake.net/ticket/tokutoku/osaka-smart_om/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/osaka_maas01.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
近畿,2026-05-26,ＪＲ西日本,ONE KANSAI 京都満喫3wayパス,2026/3/20 / ～2027/3/31,ONE KANSAI 京都満喫3wayパス,ＪＲ西日本 京阪電鉄 阪急電鉄,ＪＲ西日本 TEL:,ONE KANSAI 京都満喫3wayパス,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"大人：1,800円",1日間,2026年3月20日～2027年3月31日,2026年4月1日～2027年3月31日,KANSAI MaaS,,"ONE KANSAI 京都満喫3wayパス || 関連情報 | ＪＲ西日本 京阪電鉄 阪急電鉄 || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | ONE KANSAI 京都満喫3wayパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：1,800円 || 有効期間 | 1日間 || 発売期間 | 2026年3月20日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年3月31日 || 発売箇所 | KANSAI MaaS",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest159.htm,https://app.kansai-maas.jp/tickets/KMKH100500 | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000086 | https://www.hankyu.co.jp/ticket/otoku/013943.html | https://www.keihan.co.jp/traffic/valueticket/detail/kyotomankitsu-3way.html,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest159.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
近畿,2026-05-26,ＪＲ西日本,ONE KANSAI 和歌山2wayパス,2026/3/20 / ～9/30,ONE KANSAI 和歌山2wayパス,ＪＲ西日本 KANSAI MaaS,ＪＲ西日本 TEL:,ONE KANSAI 和歌山2wayパス,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"大人：3,600円",1日間,2026年3月20日～2026年9月30日,2026年4月1日～2026年9月30日,KANSAI MaaS,"{""備考"": ""神戸須磨シーワールド入館券がセット""}","ONE KANSAI 和歌山2wayパス || 関連情報 | ＪＲ西日本 KANSAI MaaS || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | ONE KANSAI 和歌山2wayパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：3,600円 || 有効期間 | 1日間 || 発売期間 | 2026年3月20日～2026年9月30日 || 利用期間 | 2026年4月1日～2026年9月30日 || 発売箇所 | KANSAI MaaS || 備考 | 神戸須磨シーワールド入館券がセット",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest161.htm,https://app.kansai-maas.jp/tickets/KMJW104200 | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000088,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest161.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
近畿,2026-05-26,ＪＲ西日本,JR西日本QR2dayパス,2025/9/5 / ～2027/3/30,JR西日本QR2dayパス,KANSAI MaaS JR西日本,ＪＲ西日本 TEL:,JR西日本QR2dayパス,新幹線在来線特急・急行快速・普通宮島フェリー京阪電車 サンライズWEST EXPRESS 銀河はなあかりグリーン指定自由Ａシートグリーン指定自由ライナープレミアム普通 ×××××××▲▲▲○－▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,QRチケット,"大人：4,000円／小人：2,000円 /",２日間,2026年3月1日～2027年3月30日,2026年4月1日～2027年3月31日,KANSAI MaaS,,"JR西日本QR2dayパス || 関連情報 | KANSAI MaaS JR西日本 || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | JR西日本QR2dayパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー京阪電車 サンライズWEST EXPRESS 銀河はなあかりグリーン指定自由Ａシートグリーン指定自由ライナープレミアム普通 ×××××××▲▲▲○－▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | QRチケット || ねだん | 大人：4,000円／小人：2,000円 / || 有効期間 | ２日間 || 発売期間 | 2026年3月1日～2027年3月30日 || 利用期間 | 2026年4月1日～2027年3月31日 || 発売箇所 | KANSAI MaaS",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest202.htm,https://app.kansai-maas.jp/tickets/KMJW103600 | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000061,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest202.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
近畿,2026-05-26,ＪＲ西日本,ひらパーGo！Go！チケット【JR西日本版】,～2027/3/31,ひらパーGo！Go！チケット【JR西日本版】,KANSAI MaaS ＪＲ九州 京阪電気鉄道,ＪＲ西日本 TEL:,ひらパーGo！Go！チケット【JR西日本版】,新幹線在来線特急・急行快速・普通宮島フェリー京阪電車 サンライズWEST EXPRESS 銀河はなあかりグリーン指定自由Ａシートグリーン指定自由ライナープレミアム普通 ×××××××▲▲▲○－▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"大人：2,500円／小人：1,300円 /",1日間,2026年3月1日～2027年3月31日,2026年4月1日～2027年3月31日,KANSAI MaaS,,"ひらパーGo！Go！チケット【JR西日本版】 || 関連情報 | KANSAI MaaS ＪＲ九州 京阪電気鉄道 || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | ひらパーGo！Go！チケット【JR西日本版】 || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー京阪電車 サンライズWEST EXPRESS 銀河はなあかりグリーン指定自由Ａシートグリーン指定自由ライナープレミアム普通 ×××××××▲▲▲○－▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：2,500円／小人：1,300円 / || 有効期間 | 1日間 || 発売期間 | 2026年3月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年3月31日 || 発売箇所 | KANSAI MaaS",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest201.htm,https://app.kansai-maas.jp/tickets/KMKH100600 | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000059,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest201.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
近畿,2026-05-26,ＪＲ西日本,堺おでかけフリーパス,20226/4/24 / ～6/30,堺おでかけフリーパス,南海電気鉄道 JR西日本,南海電気鉄道 南海コールセンター ：050-3090-2608 (8:00～21:00),堺おでかけフリーパス,,,"大人：1,500円",1日間,2026年4月24日～2026年6月30日,2026年4月25日～2026年6月30日,KANSAI MaaS,,"堺おでかけフリーパス || 関連情報 | 南海電気鉄道 JR西日本 || 問合わせ | 南海電気鉄道 南海コールセンター ：050-3090-2608 (8:00～21:00) || フリー区間 | 堺おでかけフリーパス || 制限事項 || ねだん | 大人：1,500円 || 有効期間 | 1日間 || 発売期間 | 2026年4月24日～2026年6月30日 || 利用期間 | 2026年4月25日～2026年6月30日 || 発売箇所 | KANSAI MaaS",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/nankai101.htm,https://app.kansai-maas.jp/tickets/KMJW106000 | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000095 | https://www.nankai.co.jp/traffic/otoku/sakaifree.html,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/nankai101.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
近畿,2026-05-26,ＪＲ西日本,城崎温泉・天橋立周遊パス,2026/3/25 / ～2027/3/30,城崎温泉・天橋立周遊パス,ＪＲ西日本 tabiwa by WESTER /,ＪＲ西日本 TEL:,城崎温泉・天橋立周遊パス,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,「はなあかり号」「丹後くろまつ号」乗車不可。,"大人：3,900円／小人：1,800円",２日間,2026年3月1日～2027年3月31日,2026年4月1日～2027年3月31日,tabiwa by WESTER KANSAI MaaS,,"城崎温泉・天橋立周遊パス || 関連情報 | ＪＲ西日本 tabiwa by WESTER / || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 城崎温泉・天橋立周遊パス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 「はなあかり号」「丹後くろまつ号」乗車不可。 || ねだん | 大人：3,900円／小人：1,800円 || 有効期間 | ２日間 || 発売期間 | 2026年3月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年3月31日 || 発売箇所 | tabiwa by WESTER KANSAI MaaS",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest151.htm,https://app.kansai-maas.jp/tickets/KMJW105600 | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0002100 | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000089,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest151.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
近畿,2026-05-26,ＪＲ西日本,京阪・JR西日本 神戸須磨シーワールド1dayパス,2026/3/1 / ～2027/3/31,京阪・JR西日本 神戸須磨シーワールド1dayパス,ＪＲ西日本 ＪＲ西日本 京阪電鉄,ＪＲ西日本 TEL:,京阪・JR西日本 神戸須磨シーワールド1dayパス,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"大人：4,400円",1日間,2026年3月1日～2027年3月31日,2026年4月1日～2027年3月31日,KANSAI MaaS,"{""備考"": ""神戸須磨シーワールドの入館券がセット""}","京阪・JR西日本 神戸須磨シーワールド1dayパス || 関連情報 | ＪＲ西日本 ＪＲ西日本 京阪電鉄 || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 京阪・JR西日本 神戸須磨シーワールド1dayパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：4,400円 || 有効期間 | 1日間 || 発売期間 | 2026年3月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年3月31日 || 発売箇所 | KANSAI MaaS || 備考 | 神戸須磨シーワールドの入館券がセット",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest160.htm,https://app.kansai-maas.jp/tickets/KMJW104300 | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000060 | https://www.jr-odekake.net/ticket/tokutoku/kobesuma_seaworld/ | https://www.keihan.co.jp/traffic/valueticket/detail/kobesuma-seaworld.html,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest160.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
近畿,2026-05-26,ＪＲ西日本,「全国都市緑化フェアin京都丹波」応援1DAYパス,2016/3/19 / ～11/30,「全国都市緑化フェアin京都丹波」 / 応援1DAYパス,ＪＲ西日本,ＪＲ西日本 TEL:,「全国都市緑化フェアin京都丹波」応援1DAYパス,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"大人：1,200円／小人：600円",1日間,2026年3月19日～2026年11月30日,2026年3月20日～2026年11月30日,KANSAI MaaS,"{""発売枚数"": ""不明""}","「全国都市緑化フェアin京都丹波」 / 応援1DAYパス || 関連情報 | ＪＲ西日本 || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 「全国都市緑化フェアin京都丹波」応援1DAYパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ××▲▲▲▲▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：1,200円／小人：600円 || 有効期間 | 1日間 || 発売期間 | 2026年3月19日～2026年11月30日 || 利用期間 | 2026年3月20日～2026年11月30日 || 発売箇所 | KANSAI MaaS || 発売枚数 | 不明 || 備考",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest162.htm,https://app.kansai-maas.jp/tickets/KMJW105800 | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000052,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest162.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/kinki.htm,
