地区,抓取日期,公司名,车票名称,目录发售期间,详情页标题,相关信息,咨询,自由乘车区间,可利用设备,限制事项,价格,有效期间,详情发售期间,利用期间,发售处,其他详情字段,详情全文,详情页链接,详情页内链接,详情页图片链接,目录页链接,抓取错误
東北,2026-05-26,ＪＲ東日本全国欄も参照して下さい,五能線フリーパス,発売中,五能線フリーパス,ＪＲ東日本,,五能線フリーパス,新幹線特急・急行快速・普通 グリーンライナー指定自由 －▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 －：対象無し /,,"大人：4,040円／小人：2,020円",２日,通年,通年,フリー区間内と周辺のＪＲのおもな駅,,"五能線フリーパス || 関連情報 | ＪＲ東日本 || 問合わせ || フリー区間 | 五能線フリーパス || 利用可能設備 | 新幹線特急・急行快速・普通 グリーンライナー指定自由 －▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 －：対象無し / || 制限事項 || ねだん | 大人：4,040円／小人：2,020円 || 有効期間 | ２日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | フリー区間内と周辺のＪＲのおもな駅",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast51.htm,http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=3006,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast51.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
東北,2026-05-26,ＪＲ東日本全国欄も参照して下さい,仙台まるごとパス,発売中,仙台まるごとパス,仙台まるごとパス運営協議会 ＪＲ東日本 / ＪＲ東日本,仙台まるごとパス運営協議会 TEL:022-268-9603,仙台まるごとパス,新幹線特急・急行快速・普通 グリーン指定グリーン自由ライナー指定自由 －▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"大人：2,930円／小人：1,470円",２日,通年,通年,ＪＲ東日本の主な駅のみどりの窓口・びゅうプラザ・提携販売センター・営業販売センター及びJTB等の主な旅行会社、仙台空港駅 / TOHOKU MaaS(スマートフォン),,"仙台まるごとパス || 関連情報 | 仙台まるごとパス運営協議会 ＪＲ東日本 / ＪＲ東日本 || 問合わせ | 仙台まるごとパス運営協議会 TEL:022-268-9603 || フリー区間 | 仙台まるごとパス || 利用可能設備 | 新幹線特急・急行快速・普通 グリーン指定グリーン自由ライナー指定自由 －▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：2,930円／小人：1,470円 || 有効期間 | ２日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | ＪＲ東日本の主な駅のみどりの窓口・びゅうプラザ・提携販売センター・営業販売センター及びJTB等の主な旅行会社、仙台空港駅 / TOHOKU MaaS(スマートフォン)",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/sendaimarugoto.htm,http://sendaitravelpass.jp/ | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2991 | https://maas-portal.com/tohoku/tickets/10231 | https://www.jreast.co.jp/sendai/tohoku_tickets/#ticket06,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/sendaimarugoto.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
東北,2026-05-26,ＪＲ東日本全国欄も参照して下さい,会津ぐるっとカード,発売中,会津ぐるっとカード,会津カード運営協議会 ＪＲ東日本 会津鉄道 会津バス,会津カード運営協議会 / 会津若松観光ビューロー TEL:0242-23-8000 / 会津若松市観光課 TEL:0242-39-1251(土日祝祭日を除く),会津ぐるっとカード,新幹線特急・急行快速・普通 グリーン指定グリーン自由ライナー指定自由 －▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"大人：3,040円 小人：1,520円",２日,通年,通年,"本件発売個所 JR東日本会津若松,喜多方,会津坂下 会津バス若松駅前バスターミナル / 喜多方営業所 / 坂下営業所 磐梯東都バス猪苗代磐梯営業所 案内所,施設東山温泉観光協会 / 七日町駅「駅カフェ」 / 裏磐梯観光協会 / 会津美里町観光協会 宿泊施設Active Resorts 裏磐梯 / 裏磐梯レイクリゾート / 裏磐梯高原ホテル / 磐梯桧原湖畔ホテル / 会津アストリアホテルズ / 休暇村裏磐梯 スマートフォンTOHOKU MaaS(スマートフォン) 引換券発売個所 / 発売箇所で「会津ぐるっとカード引換券」を購入し、エリア内の引換箇所で「会津ぐるっとカード」と交換する。 / JR東日本の主な駅のみどりの窓口 ローソン・ミニストップ店頭端末「Loppi」 ファミリーマート店頭端末 セブン-イレブン店頭端末 近畿日本ツーリスト 東武トップツアーズ 日本旅行 東都観光バス本社 会津トラベルサービス ミキ・ツーリスト",,"会津ぐるっとカード || 関連情報 | 会津カード運営協議会 ＪＲ東日本 会津鉄道 会津バス || 問合わせ | 会津カード運営協議会 / 会津若松観光ビューロー TEL:0242-23-8000 / 会津若松市観光課 TEL:0242-39-1251(土日祝祭日を除く) || フリー区間 | 会津ぐるっとカード || 利用可能設備 | 新幹線特急・急行快速・普通 グリーン指定グリーン自由ライナー指定自由 －▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：3,040円 小人：1,520円 || 有効期間 | ２日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | 本件発売個所 JR東日本会津若松,喜多方,会津坂下 会津バス若松駅前バスターミナル / 喜多方営業所 / 坂下営業所 磐梯東都バス猪苗代磐梯営業所 案内所,施設東山温泉観光協会 / 七日町駅「駅カフェ」 / 裏磐梯観光協会 / 会津美里町観光協会 宿泊施設Active Resorts 裏磐梯 / 裏磐梯レイクリゾート / 裏磐梯高原ホテル / 磐梯桧原湖畔ホテル / 会津アストリアホテルズ / 休暇村裏磐梯 スマートフォンTOHOKU MaaS(スマートフォン) 引換券発売個所 / 発売箇所で「会津ぐるっとカード引換券」を購入し、エリア内の引換箇所で「会津ぐるっとカード」と交換する。 / JR東日本の主な駅のみどりの窓口 ローソン・ミニストップ店頭端末「Loppi」 ファミリーマート店頭端末 セブン-イレブン店頭端末 近畿日本ツーリスト 東武トップツアーズ 日本旅行 東都観光バス本社 会津トラベルサービス ミキ・ツーリスト",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/aizugurutto.htm,http://www.aizutetsudo.jp/ticket/gurutto-card/ | https://maas-portal.com/tohoku/tickets/10234 | https://www.aizubus.com/rosen/machinaka-shuyu#H302 | https://www.aizukanko.com/kk/aizucard/index.htm | https://www.jreast.co.jp/sendai/tohoku_tickets/#ticket08,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/aizugurutto.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
東北,2026-05-26,ＪＲ東日本全国欄も参照して下さい,津軽フリーパス,発売中,津軽フリーパス(デジタルフリーパス),TOHOKU MaaS ＪＲ東日本,ＪＲ東日本 TEL:,津軽フリーパス,新幹線特急・急行快速・普通津軽鉄道 グリーンライナー指定自由ストーブ列車自由 －××▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"大人：2,620円 小人：1,310円 /",２日,通年,通年,TOHOKU MaaS(スマートフォン),,"津軽フリーパス(デジタルフリーパス) || 関連情報 | TOHOKU MaaS ＪＲ東日本 || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | 津軽フリーパス || 利用可能設備 | 新幹線特急・急行快速・普通津軽鉄道 グリーンライナー指定自由ストーブ列車自由 －××▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：2,620円 小人：1,310円 / || 有効期間 | ２日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | TOHOKU MaaS(スマートフォン)",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast64-1.htm,http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2863 | https://maas-portal.com/tohoku/tickets/10230,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast64.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
東北,2026-05-26,ＪＲ東日本全国欄も参照して下さい,小さな旅ホリデーパス,発売中,小さな旅ホリデーパス,ＪＲ東日本,ＪＲ東日本 TEL:,/,新幹線特急・急行快速・普通BRT グリーン指定グリーン自由ライナー指定自由 ×▲(1)▲▲▲▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / (1)「つばさ」号は福島～新庄間のみ特急券別購入で乗車可能,,"大人：2,850円／小人：1,420円 /",１日,通年,"土・休日 / 4月29日～5月5日,7月20日～8月31日,12月23日～1月7日の毎日",フリー区間内のＪＲのおもな駅,,"小さな旅ホリデーパス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | / || 利用可能設備 | 新幹線特急・急行快速・普通BRT グリーン指定グリーン自由ライナー指定自由 ×▲(1)▲▲▲▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / (1)「つばさ」号は福島～新庄間のみ特急券別購入で乗車可能 || 制限事項 || ねだん | 大人：2,850円／小人：1,420円 / || 有効期間 | １日 || 発売期間 | 通年 || 利用期間 | 土・休日 / 4月29日～5月5日,7月20日～8月31日,12月23日～1月7日の毎日 || 発売箇所 | フリー区間内のＪＲのおもな駅",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast34.htm,http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2992,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast34.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
東北,2026-05-26,ＪＲ東日本全国欄も参照して下さい,あおもりホリデーパス,発売中,あおもりホリデーパス,ＪＲ東日本 ＪＲ東日本(デジタル版),ＪＲ東日本 TEL:,/,新幹線特急・急行快速・普通ＢＲＴ グリーン指定グリーン自由ライナー指定自由 ×▲▲▲▲▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,,"大人：2,720円／小人：1,360円 /",１日,通年 /,"土・休日 / 4月29日～5月5日,7月20日～7月31日,8月8日～8月31日,12月23日～1月7日の毎日 /",フリー区間内のＪＲのおもな駅 / TOHOKU MaaS(スマートフォン),,"あおもりホリデーパス || 関連情報 | ＪＲ東日本 ＪＲ東日本(デジタル版) || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | / || 利用可能設備 | 新幹線特急・急行快速・普通ＢＲＴ グリーン指定グリーン自由ライナー指定自由 ×▲▲▲▲▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：2,720円／小人：1,360円 / || 有効期間 | １日 || 発売期間 | 通年 / || 利用期間 | 土・休日 / 4月29日～5月5日,7月20日～7月31日,8月8日～8月31日,12月23日～1月7日の毎日 / || 発売箇所 | フリー区間内のＪＲのおもな駅 / TOHOKU MaaS(スマートフォン)",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast36.htm,http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2806 | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=3004 | https://maas-portal.com/tohoku/tickets/10233,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast36.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
東北,2026-05-26,ＪＲ東日本全国欄も参照して下さい,あきたホリデーパス,終了,あきたホリデーパス,ＪＲ東日本 秋田内陸縦貫鉄道 由利高原鉄道 /,,あきたホリデーパス,新幹線特急・急行快速・普通 グリーンライナー指定自由 ×(1)▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 －：対象無し / (1)秋田～田沢湖間の「こまち」に乗車の場合、▲ /,秋田～田沢湖間の「こまち」に乗車の場合、乗車券のみ有効 秋田内陸縦貫鉄道の「もりよし」に乗車の場合、乗車券のみ有効,"大人：2,440円／小人：1,220円 / 大人休日倶楽部会員：1,880円",１日間,2025年10月1日～2026年2月23日 /,2025年11月1日～2026年2月23日の土・日・休日 / 2025年12月22日～2026年1月7日,フリー区間内と周辺のＪＲのおもな駅 /,,"あきたホリデーパス || 関連情報 | ＪＲ東日本 秋田内陸縦貫鉄道 由利高原鉄道 / || 問合わせ || フリー区間 | あきたホリデーパス || 利用可能設備 | 新幹線特急・急行快速・普通 グリーンライナー指定自由 ×(1)▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 －：対象無し / (1)秋田～田沢湖間の「こまち」に乗車の場合、▲ / || 制限事項 | 秋田～田沢湖間の「こまち」に乗車の場合、乗車券のみ有効 秋田内陸縦貫鉄道の「もりよし」に乗車の場合、乗車券のみ有効 || ねだん | 大人：2,440円／小人：1,220円 / 大人休日倶楽部会員：1,880円 || 有効期間 | １日間 || 発売期間 | 2025年10月1日～2026年2月23日 / || 利用期間 | 2025年11月1日～2026年2月23日の土・日・休日 / 2025年12月22日～2026年1月7日 || 発売箇所 | フリー区間内と周辺のＪＲのおもな駅 /",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast48.htm,https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2951,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast48.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
東北,2026-05-26,津軽鉄道,コロプラ☆乗り放題1日フリーきっぷ,～2027/3/31,コロプラ☆乗り放題1日フリーきっぷ,津軽鉄道 コロプラ,津軽鉄道・総務課 TEL:0173-34-2148 / （平日8:30～17:00／土曜8:30～12:30／日曜・祝日休み）,コロプラ☆乗り放題1日フリーきっぷ,,ストーブ列車は、別途ストーブ列車料金が必要,"大人：2,450円",１日間,2014年4月1日～2027年3月31日,2014年4月1日～2027年3月31日,"津軽五所川原,金木,津軽中里",,"コロプラ☆乗り放題1日フリーきっぷ || 関連情報 | 津軽鉄道 コロプラ || 問合わせ | 津軽鉄道・総務課 TEL:0173-34-2148 / （平日8:30～17:00／土曜8:30～12:30／日曜・祝日休み） || フリー区間 | コロプラ☆乗り放題1日フリーきっぷ || 制限事項 | ストーブ列車は、別途ストーブ列車料金が必要 || ねだん | 大人：2,450円 || 有効期間 | １日間 || 発売期間 | 2014年4月1日～2027年3月31日 || 利用期間 | 2014年4月1日～2027年3月31日 || 発売箇所 | 津軽五所川原,金木,津軽中里",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tugaru99.htm,https://colopl.co.jp/service/other/coloca/transport/area01/norimono_tsugaru/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/tugaru.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
東北,2026-05-26,津軽鉄道,１日フリーパス,終了,１日フリーパス,津軽鉄道 津軽半島観光アテンダント,津軽鉄道・総務課 TEL:0173-34-2148 / （平日8:30～17:00／土曜8:30～12:30／日曜・祝日休み）,１日フリーパス,,ストーブ列車の旧型客車は利用不可,"大人：1,500円／小人：700円",１日間,2026年2月7日 / 2025年12月6日 / 2025年11月1日 / 2025年9月6日 / 2025年3月1日 /,2026年2月7日 / 2025年12月6日 / 2025年11月1日 / 2025年9月6日 / 2025年3月1日 /,"五所河原,金木,津軽中里 / 機関士・車掌",,"１日フリーパス || 関連情報 | 津軽鉄道 津軽半島観光アテンダント || 問合わせ | 津軽鉄道・総務課 TEL:0173-34-2148 / （平日8:30～17:00／土曜8:30～12:30／日曜・祝日休み） || フリー区間 | １日フリーパス || 制限事項 | ストーブ列車の旧型客車は利用不可 || ねだん | 大人：1,500円／小人：700円 || 有効期間 | １日間 || 発売期間 | 2026年2月7日 / 2025年12月6日 / 2025年11月1日 / 2025年9月6日 / 2025年3月1日 / || 利用期間 | 2026年2月7日 / 2025年12月6日 / 2025年11月1日 / 2025年9月6日 / 2025年3月1日 / || 発売箇所 | 五所河原,金木,津軽中里 / 機関士・車掌",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tugaru91.htm,https://t-ate.com/archives/25255.html,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/tugaru.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
東北,2026-05-26,津軽鉄道,９５周年記念イベント参加権付２日間フリーパス,終了,９５周年記念イベント参加権付２日間フリーパス,津軽鉄道 津軽半島観光アテンダント,津軽鉄道・総務課 TEL:0173-34-2148 / （平日8:30～17:00／土曜8:30～12:30／日曜・祝日休み）,９５周年記念イベント参加権付２日間フリーパス,,,"大人：5,000円／小人：---円",２日間,2025年11月15日～2025年11月16日,2025年11月15日～2025年11月16日,五所河原,,"９５周年記念イベント参加権付２日間フリーパス || 関連情報 | 津軽鉄道 津軽半島観光アテンダント || 問合わせ | 津軽鉄道・総務課 TEL:0173-34-2148 / （平日8:30～17:00／土曜8:30～12:30／日曜・祝日休み） || フリー区間 | ９５周年記念イベント参加権付２日間フリーパス || 制限事項 || ねだん | 大人：5,000円／小人：---円 || 有効期間 | ２日間 || 発売期間 | 2025年11月15日～2025年11月16日 || 利用期間 | 2025年11月15日～2025年11月16日 || 発売箇所 | 五所河原",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tugaru94.htm,https://t-ate.com/archives/24906.html | https://tsutetsu.com/archives/5349,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/tugaru.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tohoku.htm,
