地区,抓取日期,公司名,车票名称,目录发售期间,详情页标题,相关信息,咨询,自由乘车区间,可利用设备,限制事项,价格,有效期间,详情发售期间,利用期间,发售处,其他详情字段,详情全文,详情页链接,详情页内链接,详情页图片链接,目录页链接,抓取错误
東海,2026-05-26,ＪＲ東海,富士山満喫きっぷ(静岡中部),発売中,富士山満喫きっぷ(静岡中部),ＪＲ東海,,富士山満喫きっぷ(静岡中部),"新幹線特急・急行快速・普通 A,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /","特急・急行券を購入すれば特急・急行列車(新幹線,寝台列車を除く)が利用できる。 「ホームライナー」は、乗車整理券が必要。","大人：2,200円 小人：1,100円",１日,通年,通年,"東海道本線(熱海～新所原間）,御殿場線(沼津～下曽我),身延線(富士～南甲府)間の「きっぷうりば」がある駅、「サポートつき指定席券売機」設置駅",,"富士山満喫きっぷ(静岡中部) || 関連情報 | ＪＲ東海 || 問合わせ || フリー区間 | 富士山満喫きっぷ(静岡中部) || 利用可能設備 | 新幹線特急・急行快速・普通 A,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 特急・急行券を購入すれば特急・急行列車(新幹線,寝台列車を除く)が利用できる。 「ホームライナー」は、乗車整理券が必要。 || ねだん | 大人：2,200円 小人：1,100円 || 有効期間 | １日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | 東海道本線(熱海～新所原間）,御殿場線(沼津～下曽我),身延線(富士～南甲府)間の「きっぷうりば」がある駅、「サポートつき指定席券売機」設置駅",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai06.htm,https://railway.jr-central.co.jp/tickets/mtfuji-enjoypass/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai06.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
東海,2026-05-26,ＪＲ東海,富士山満喫きっぷ(静岡東部),発売中,富士山満喫きっぷ(静岡東部),ＪＲ東海,,富士山満喫きっぷ(静岡東部),"新幹線特急・急行快速・普通 A,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /","特急・急行券を購入すれば特急・急行列車(新幹線,寝台列車を除く)が利用できる。 「ホームライナー」は、乗車整理券が必要。","大人：2,200円 小人：1,100円",１日,～2026年3月29日,～2026年3月30日 / 土休日を利用開始日として連続する2日間,"東海道本線(熱海～新所原間）,御殿場線(沼津～下曽我),身延線(富士～南甲府)間の「きっぷうりば」がある駅、「サポートつき指定席券売機」設置駅",,"富士山満喫きっぷ(静岡東部) || 関連情報 | ＪＲ東海 || 問合わせ || フリー区間 | 富士山満喫きっぷ(静岡東部) || 利用可能設備 | 新幹線特急・急行快速・普通 A,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 特急・急行券を購入すれば特急・急行列車(新幹線,寝台列車を除く)が利用できる。 「ホームライナー」は、乗車整理券が必要。 || ねだん | 大人：2,200円 小人：1,100円 || 有効期間 | １日 || 発売期間 | ～2026年3月29日 || 利用期間 | ～2026年3月30日 / 土休日を利用開始日として連続する2日間 || 発売箇所 | 東海道本線(熱海～新所原間）,御殿場線(沼津～下曽我),身延線(富士～南甲府)間の「きっぷうりば」がある駅、「サポートつき指定席券売機」設置駅",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai07.htm,https://railway.jr-central.co.jp/tickets/mtfuji-enjoypass/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai07.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
東海,2026-05-26,ＪＲ東海,名古屋おでかけきっぷ,発売中,名古屋おでかけきっぷ,ＪＲ東海,,名古屋おでかけきっぷ,"新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /",特急・急行券を購入すれば特急・急行列車が利用できます。 「ホームライナー」は、乗車整理券が必要。,"大人：1,500円 小人：750円",1日間,通年,通年,ＪＲ西日本インターネット予約サービス「e5489」 / 「ＥＸサービス」にログイン後の画面からリンクする「ＥＸ 旅先予約」から「e5489」を利用する場合に限る。,,"名古屋おでかけきっぷ || 関連情報 | ＪＲ東海 || 問合わせ || フリー区間 | 名古屋おでかけきっぷ || 利用可能設備 | 新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 特急・急行券を購入すれば特急・急行列車が利用できます。 「ホームライナー」は、乗車整理券が必要。 || ねだん | 大人：1,500円 小人：750円 || 有効期間 | 1日間 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | ＪＲ西日本インターネット予約サービス「e5489」 / 「ＥＸサービス」にログイン後の画面からリンクする「ＥＸ 旅先予約」から「e5489」を利用する場合に限る。",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai87.htm,https://jr-central.co.jp/ex/ | https://railway.jr-central.co.jp/tickets/nagoya-odekake/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai87.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
東海,2026-05-26,ＪＲ東海,ふじのくに家康公きっぷ【東部エリア】,発売中,ふじのくに家康公きっぷ【東部エリア】,ＪＲ東海 スマートＥＸ,,ふじのくに家康公きっぷ【東部エリア】,"新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /","静岡県外の駅から熱海,三島,新富士駅までのスマートEXの商品利用者のみ購入可能 /","大人：2,000円 小人：1,000円",2日間,通年 / 駅窓口での発売は、利用開始日の前日もしくは当日限定,通年,"熱海,三島,新富士 / e5489",,"ふじのくに家康公きっぷ【東部エリア】 || 関連情報 | ＪＲ東海 スマートＥＸ || 問合わせ || フリー区間 | ふじのくに家康公きっぷ【東部エリア】 || 利用可能設備 | 新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 静岡県外の駅から熱海,三島,新富士駅までのスマートEXの商品利用者のみ購入可能 / || ねだん | 大人：2,000円 小人：1,000円 || 有効期間 | 2日間 || 発売期間 | 通年 / 駅窓口での発売は、利用開始日の前日もしくは当日限定 || 利用期間 | 通年 || 発売箇所 | 熱海,三島,新富士 / e5489",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai83.htm,https://e5489.jr-odekake.net/e5489/cssp/CBTopMenuSP | https://railway.jr-central.co.jp/tickets/fujinokuni-ieyasukou/ | https://smart-ex.jp/lp/fujinokuni/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai83.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
東海,2026-05-26,ＪＲ東海,ふじのくに家康公きっぷ【中部エリア】,発売中,ふじのくに家康公きっぷ【中部エリア】,ＪＲ東海 スマートＥＸ,,ふじのくに家康公きっぷ【中部エリア】,"新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /","静岡県外の駅から新富士,静岡,掛川駅までのスマートEXの商品利用者のみ購入可能 /","大人：2,000円 小人：1,000円",2日間,通年 / 駅窓口での発売は、利用開始日の前日もしくは当日限定,通年,"新富士,静岡,掛川 / e5489",,"ふじのくに家康公きっぷ【中部エリア】 || 関連情報 | ＪＲ東海 スマートＥＸ || 問合わせ || フリー区間 | ふじのくに家康公きっぷ【中部エリア】 || 利用可能設備 | 新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 静岡県外の駅から新富士,静岡,掛川駅までのスマートEXの商品利用者のみ購入可能 / || ねだん | 大人：2,000円 小人：1,000円 || 有効期間 | 2日間 || 発売期間 | 通年 / 駅窓口での発売は、利用開始日の前日もしくは当日限定 || 利用期間 | 通年 || 発売箇所 | 新富士,静岡,掛川 / e5489",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai84.htm,https://e5489.jr-odekake.net/e5489/cssp/CBTopMenuSP | https://railway.jr-central.co.jp/tickets/fujinokuni-ieyasukou/ | https://smart-ex.jp/lp/fujinokuni/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai84.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
東海,2026-05-26,ＪＲ東海,ふじのくに家康公きっぷ【西部エリア】,発売中,ふじのくに家康公きっぷ【西部エリア】,ＪＲ東海 スマートＥＸ,,ふじのくに家康公きっぷ【西部エリア】,"新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /","静岡県外の駅から掛川,浜松までのスマートEXの商品利用者のみ購入可能 /","大人：2,000円 小人：1,000円",2日間,通年 / 駅窓口での発売は、利用開始日の前日もしくは当日限定,通年,"掛川,浜松 / e5489",,"ふじのくに家康公きっぷ【西部エリア】 || 関連情報 | ＪＲ東海 スマートＥＸ || 問合わせ || フリー区間 | ふじのくに家康公きっぷ【西部エリア】 || 利用可能設備 | 新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 静岡県外の駅から掛川,浜松までのスマートEXの商品利用者のみ購入可能 / || ねだん | 大人：2,000円 小人：1,000円 || 有効期間 | 2日間 || 発売期間 | 通年 / 駅窓口での発売は、利用開始日の前日もしくは当日限定 || 利用期間 | 通年 || 発売箇所 | 掛川,浜松 / e5489",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai85.htm,https://e5489.jr-odekake.net/e5489/cssp/CBTopMenuSP | https://railway.jr-central.co.jp/tickets/fujinokuni-ieyasukou/ | https://smart-ex.jp/lp/fujinokuni/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai85.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
東海,2026-05-26,ＪＲ東海,立山黒部アルペンフリーきっぷ,2026/3/15 / ～11/26,立山黒部アルペンフリーきっぷ,ＪＲ東海,,立山黒部アルペンフリーきっぷ /,"新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲(1)▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / (1)ＪＲ線特急列車の指定席利用回数は４回まで",ＪＲ線特急列車の指定席利用回数は４回まで 「ホームライナー」は、乗車整理券が必要。,"大人：24,500円 小人：12,250円",5日間,2026年3月15日～2026年11月26日,"2026年3月15日～2026年11月30日 / 2026年4月27日～5月6日,2026年8月10日～8月19日は利用不可",e5489 / 受取はＪＲ東海のきっぷうりば及び「5489サービス」の表示のある改札外の券売機(JR東海のみ),,"立山黒部アルペンフリーきっぷ || 関連情報 | ＪＲ東海 || 問合わせ || フリー区間 | 立山黒部アルペンフリーきっぷ / || 利用可能設備 | 新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×××▲▲(1)▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / (1)ＪＲ線特急列車の指定席利用回数は４回まで || 制限事項 | ＪＲ線特急列車の指定席利用回数は４回まで 「ホームライナー」は、乗車整理券が必要。 || ねだん | 大人：24,500円 小人：12,250円 || 有効期間 | 5日間 || 発売期間 | 2026年3月15日～2026年11月26日 || 利用期間 | 2026年3月15日～2026年11月30日 / 2026年4月27日～5月6日,2026年8月10日～8月19日は利用不可 || 発売箇所 | e5489 / 受取はＪＲ東海のきっぷうりば及び「5489サービス」の表示のある改札外の券売機(JR東海のみ)",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai09.htm,https://railway.jr-central.co.jp/tickets/tateyama-kurobe-alpine/ | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/ticket.html?staticShnId=100022957,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai09.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
東海,2026-05-26,ＪＲ東海,青空フリーパス,発売中,青空フリーパス,ＪＲ東海,,青空フリーパス,"新幹線特急・急行快速・普通伊勢鉄道 A,B寝台グリーン普通車指定普通車自由グリーンライナー指定自由 ××▲▲▲▲▲▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /",伊勢鉄道に乗車可、城北線、愛知環状線乗車不可。 特急・急行券を購入すれば特急・急行列車（新幹線を除く）の普通車自由席が利用可。 「ホームライナー」は、乗車整理券が必要。,"大人：2,620円／小人：1,310円",１日,通年,土・日曜・祝日 / 12月31日～1月3日,フリー区間内のＪＲのおもな駅,,"青空フリーパス || 関連情報 | ＪＲ東海 || 問合わせ || フリー区間 | 青空フリーパス || 利用可能設備 | 新幹線特急・急行快速・普通伊勢鉄道 A,B寝台グリーン普通車指定普通車自由グリーンライナー指定自由 ××▲▲▲▲▲▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 伊勢鉄道に乗車可、城北線、愛知環状線乗車不可。 特急・急行券を購入すれば特急・急行列車（新幹線を除く）の普通車自由席が利用可。 「ホームライナー」は、乗車整理券が必要。 || ねだん | 大人：2,620円／小人：1,310円 || 有効期間 | １日 || 発売期間 | 通年 || 利用期間 | 土・日曜・祝日 / 12月31日～1月3日 || 発売箇所 | フリー区間内のＪＲのおもな駅",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai01.htm,http://railway.jr-central.co.jp/tickets/aozora-free-holiday/index.html,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai01.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
東海,2026-05-26,ＪＲ東海,休日乗り放題きっぷ,発売中,休日乗り放題きっぷ,ＪＲ東海,,休日乗り放題きっぷ,"新幹線特急・急行快速・普通 A,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /",特急・急行券を購入すれば特急・急行列車(新幹線を除く)が利用できます。 「ホームライナー」は、乗車整理券が必要。,"大人：2,720円 小人：1,360円",１日,通年,土・日曜・祝日 / 12月31日～1月3日,フリー区間内のＪＲのおもな駅(国府津、甲府を除く),,"休日乗り放題きっぷ || 関連情報 | ＪＲ東海 || 問合わせ || フリー区間 | 休日乗り放題きっぷ || 利用可能設備 | 新幹線特急・急行快速・普通 A,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ××▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 特急・急行券を購入すれば特急・急行列車(新幹線を除く)が利用できます。 「ホームライナー」は、乗車整理券が必要。 || ねだん | 大人：2,720円 小人：1,360円 || 有効期間 | １日 || 発売期間 | 通年 || 利用期間 | 土・日曜・祝日 / 12月31日～1月3日 || 発売箇所 | フリー区間内のＪＲのおもな駅(国府津、甲府を除く)",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai03.htm,https://railway.jr-central.co.jp/tickets/holiday/,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai02.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
東海,2026-05-26,ＪＲ東海,ＪＲ東海＆17 私鉄 乗り鉄☆たびきっぷ,発売中,ＪＲ東海＆16 私鉄 乗り鉄☆たびきっぷ,ＪＲ東海,,ＪＲ東海＆16 私鉄 乗り鉄☆たびきっぷ / 16私鉄各社路線 1伊豆箱根鉄道(駿豆線) 2岳南電車 3静岡鉄道 4天竜浜名湖鉄道 5遠州鉄道 6豊橋鉄道 7愛知環状鉄道 8名古屋臨海高速鉄道(あおなみ線) 9JR東海交通事業(城北線) 10三岐鉄道(北勢線) 11養老鉄道 12長良川鉄道 13明知鉄道 14樽見鉄道 15近江鉄道 16伊勢鉄道,"新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×▲(1)×▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / (1)：4回まで",特急・急行券を購入すれば特急・急行列車が利用できます。 「ホームライナー」は、乗車整理券が必要。,"大人：8,620円 小人：4,040円",2日間,通年,土休日を利用開始日とする連続する2日間,"フリー区間内のＪＲのおもな駅(甲府,国府津,辰野,塩尻,猪谷,新宮を除く) / e5489",,"ＪＲ東海＆16 私鉄 乗り鉄☆たびきっぷ || 関連情報 | ＪＲ東海 || 問合わせ || フリー区間 | ＪＲ東海＆16 私鉄 乗り鉄☆たびきっぷ / 16私鉄各社路線 1伊豆箱根鉄道(駿豆線) 2岳南電車 3静岡鉄道 4天竜浜名湖鉄道 5遠州鉄道 6豊橋鉄道 7愛知環状鉄道 8名古屋臨海高速鉄道(あおなみ線) 9JR東海交通事業(城北線) 10三岐鉄道(北勢線) 11養老鉄道 12長良川鉄道 13明知鉄道 14樽見鉄道 15近江鉄道 16伊勢鉄道 || 利用可能設備 | 新幹線特急・急行快速・普通 のぞみひかり・こだまA,B寝台グリーン普通車指定普通車自由グリーン指定グリーン自由ライナー指定自由 ×▲(1)×▲▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / (1)：4回まで || 制限事項 | 特急・急行券を購入すれば特急・急行列車が利用できます。 「ホームライナー」は、乗車整理券が必要。 || ねだん | 大人：8,620円 小人：4,040円 || 有効期間 | 2日間 || 発売期間 | 通年 || 利用期間 | 土休日を利用開始日とする連続する2日間 || 発売箇所 | フリー区間内のＪＲのおもな駅(甲府,国府津,辰野,塩尻,猪谷,新宮を除く) / e5489",https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrtokai05.htm,http://railway.jr-central.co.jp/tickets/noritetsu-tabikippu/index.html | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/ticket.html?staticShnId=100020181,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jrtokai05.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jrtokai05_2.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrtokai05.gif,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokai.htm,
