sortOrder,id,name_cn,description,price_adult_regular,price_adult_phone,price_child_regular,price_child_phone,price_over65,price_under25,price_under18,price_under15,price_free,bestFor,duration,validityPeriod_startDate,validityPeriod_endDate,validityPeriod_description,coverage_regions,coverage_map,targetAudience,trainTypes,officialLinks,purchaseLinks,category,popularity,isLimitedPeriod,ticket_note
1,hokusinetu_1,信州ワンデーパス,"信州ワンデーパス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | 信州ワンデーパス / || 利用可能設備 | 新幹線特急・急行快速・普通 グリーンライナー指定自由 ▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | おとな：2,830円 こども：1,110円 || 有効期間 | １日間 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | フリー区間内のＪＲ駅のみどりの窓口,びゅうプラザ
相关信息: ＪＲ東日本
咨询: ＪＲ東日本 TEL:","おとな：2,830円 こども：1,110円",,,,,,,,,,１日間,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jreast63.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast66.gif,,新幹線特急・急行快速・普通 グリーンライナー指定自由 ▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast66.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2466,"フリー区間内のＪＲ駅のみどりの窓口,びゅうプラザ",,,,
2,hokusinetu_2,えちごワンデーパス,"えちごワンデーパス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | えちごワンデーパス / || 利用可能設備 | 新幹線特急・急行快速・普通 グリーンライナー指定自由 ▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：1,570円／小人：780円 || 有効期間 | １日 || 発売期間 | ～2025年3月31日 || 利用期間 | ～2025年3月31日 || 発売箇所 | フリー区間内の主な駅
相关信息: ＪＲ東日本
咨询: ＪＲ東日本 TEL:","大人：1,570円／小人：780円",,,,,,,,,,１日,～2025年3月31日,,～2025年3月31日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast58.gif,,新幹線特急・急行快速・普通 グリーンライナー指定自由 ▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast58.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2499,フリー区間内の主な駅,,,,
3,hokusinetu_3,えちごツーデーパス,"えちごツーデーパス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | えちごツーデーパス / || 利用可能設備 | 新幹線特急・急行快速・普通 グリーンライナー指定自由 ▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：3,300円／小人：1,650円 / || 有効期間 | ２日間 || 発売期間 | ～2027年3月27日 / || 利用期間 | ～2027年3月28日までの金･土･日･祝日,GW,夏休み及び年末年始及びその他設定日の連続する２日間 / 詳細は、こちらによる。 / || 発売箇所 | フリー区間内の主な駅 / えちごトキめき鉄道：春日山,高田,新井,妙高高原,糸魚川
相关信息: ＪＲ東日本
咨询: ＪＲ東日本 TEL:","大人：3,300円／小人：1,650円 /",,,,,,,,,,２日間,～2027年3月27日 /,,"～2027年3月28日までの金･土･日･祝日,GW,夏休み及び年末年始及びその他設定日の連続する２日間 / 詳細は、こちらによる。 /",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast60.gif,,新幹線特急・急行快速・普通 グリーンライナー指定自由 ▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast60.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2993 | https://www.jreast.co.jp/tickets/pdfFile.aspx?GoodsCd=2993&No=07,"フリー区間内の主な駅 / えちごトキめき鉄道：春日山,高田,新井,妙高高原,糸魚川",,,,
4,hokusinetu_4,北陸おでかけtabiwaパス 【当日購入不可】,"北陸おでかけtabiwaパス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本 || フリー区間 | 北陸おでかけtabiwaパス || 利用可能設備 | 新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。 || ねだん | 大人：2,950円／小人：1,180円 || 有効期間 | １日間 || 発売期間 | 2026年3月1日～2027年3月28日 / 3日前まで || 利用期間 | 2026年4月1日～2027年3月31日 || 発売箇所 | tabiwa
限制事项: 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。
相关信息: tabiwa
咨询: ＪＲ西日本","大人：2,950円／小人：1,180円",,,,,,,,,,１日間,2026年3月1日～2027年3月28日 / 3日前まで,,2026年4月1日～2027年3月31日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest41.gif,,新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest41.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0001100,tabiwa,,,,
5,hokusinetu_5,金沢能登tabiwaパス,"金沢能登tabiwaパス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本 || フリー区間 | 金沢能登tabiwaパス || 利用可能設備 | 新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。 || ねだん | 大人：3,250円／小人：1,620円 || 有効期間 | 2日間 || 発売期間 | 2026年3月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年4月1日 || 発売箇所 | tabiwa
限制事项: 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。
相关信息: tabiwa
咨询: ＪＲ西日本","大人：3,250円／小人：1,620円",,,,,,,,,,2日間,2026年3月1日～2027年3月31日,,2026年4月1日～2027年4月1日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest46.gif,,新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest46.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0001500,tabiwa,,,,
6,hokusinetu_6,小浜線tabiwaパス,"小浜線tabiwaパス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本 || フリー区間 | 小浜線tabiwaパス || 利用可能設備 | 新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。 || ねだん | 大人：2,200円／小人：1,600円 || 有効期間 | ２日間 || 発売期間 | 2026年3月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年4月1日 || 発売箇所 | tabiwa
限制事项: 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。
相关信息: tabiwa
咨询: ＪＲ西日本","大人：2,200円／小人：1,600円",,,,,,,,,,２日間,2026年3月1日～2027年3月31日,,2026年4月1日～2027年4月1日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest34.gif,,新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest40.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0001200,tabiwa,,,,
7,hokusinetu_7,越前tabiwaパス,"越前tabiwaパス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本 || フリー区間 | 越前tabiwaパス || 利用可能設備 | 新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。 || ねだん | 大人：2,300円／小人：1,200円 || 有効期間 | ２日間 || 発売期間 | 2026年3月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年4月1日 || 発売箇所 | tabiwa
限制事项: 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。
相关信息: tabiwa
咨询: ＪＲ西日本","大人：2,300円／小人：1,200円",,,,,,,,,,２日間,2026年3月1日～2027年3月31日,,2026年4月1日～2027年4月1日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest42.gif,,新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest42.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0001300,tabiwa,,,,
8,hokusinetu_8,とやま周遊２dayパス,"とやま周遊２dayパス || 関連情報 | tabiwa 富山地方鉄道 あいの風とやま鉄道 万葉線 / myroute || 問合わせ | 富山myroute推進協議会 / || フリー区間 | とやま周遊２dayパス || 利用可能設備 | 新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。 || ねだん | 大人：1,550円／小人：770円 || 有効期間 | ２日間 || 発売期間 | 2026年3月1日～2027年3月31日 || 利用期間 | 2026年4月1日～2027年4月1日 || 発売箇所 | tabiwa my route(マイルート)
限制事项: 普通列車(新快速・快速を含む)の普通車自由席に乗車可。 特急・急行列車は、別途特急券、急行券等が必要。 新幹線には乗車できない。
相关信息: tabiwa 富山地方鉄道 あいの風とやま鉄道 万葉線 / myroute
咨询: 富山myroute推進協議会 /","大人：1,550円／小人：770円",,,,,,,,,,２日間,2026年3月1日～2027年3月31日,,2026年4月1日～2027年4月1日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest38.gif,,新幹線ＪＲ特急・急行快速・普通 ライナー指定自由 ×▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest39.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0001600 | https://top.myroute.fun/ticket/toyama#toyamawide | https://toyama-city.myroute.fun/info/459/ | https://www.chitetsu.co.jp/?p=63386,tabiwa my route(マイルート),,,,
9,hokusinetu_9,WESTERポイント 北陸新幹線フリーパス（全ポイント）,"WESTERポイント 北陸新幹線フリーパス（全ポイント） || 関連情報 | JRおでかけネット || 問合わせ | ＪＲ西日本 || フリー区間 | WESTERポイント 北陸新幹線フリーパス（全ポイント） || 利用可能設備 | 東海道新幹線山陽新幹線北陸新幹線在来線特急・急行快速・普通 グリーン車普通車指定普通車自由グランクラスグリーン車普通車指定普通車自由寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 －－－－×▲△○－－－－－－－－－ ○：乗車可 ▲：乗車券のみ有効 △：6回まで / ×：乗車不可 －：設定なし / || 制限事項 | WESTERポイントでのみ購入可能 指定席は6回まで利用可能 指定席が満席の場合は立席が利用可能 || ねだん | 大人：3,000ポイント／小人：1,500ポイント || 有効期間 | ３日間 || 発売期間 | 2025年9月1日～2025年12月23日 || 利用期間 | 2025年10月1日～2025年21月25日 || 発売箇所 | JRおでかけネット
限制事项: WESTERポイントでのみ購入可能 指定席は6回まで利用可能 指定席が満席の場合は立席が利用可能
相关信息: JRおでかけネット
咨询: ＪＲ西日本","大人：3,000ポイント／小人：1,500ポイント",,,,,,,,,,３日間,2025年9月1日～2025年12月23日,,2025年10月1日～2025年21月25日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest44.gif,,東海道新幹線山陽新幹線北陸新幹線在来線特急・急行快速・普通 グリーン車普通車指定普通車自由グランクラスグリーン車普通車指定普通車自由寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 －－－－×▲△○－－－－－－－－－ ○：乗車可 ▲：乗車券のみ有効 △：6回まで / ×：乗車不可 －：設定なし /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest44.htm | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=125000259 | https://www.jr-odekake.net/goyoyaku/campaign/hokurikufree/,JRおでかけネット,,,,
10,hokusinetu_10,WESTERポイント 北陸新幹線フリーパス（一部ポイント）,"WESTERポイント 北陸新幹線フリーパス（一部ポイント） || 関連情報 | JRおでかけネット || 問合わせ | ＪＲ西日本 || フリー区間 | WESTERポイント 北陸新幹線フリーパス（一部ポイント） || 利用可能設備 | 東海道新幹線山陽新幹線北陸新幹線在来線特急・急行快速・普通 グリーン車普通車指定普通車自由グランクラスグリーン車普通車指定普通車自由寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 －－－－×▲△○－－－－－－－－－ ○：乗車可 ▲：乗車券のみ有効 △：6回まで / ×：乗車不可 －：設定なし / || 制限事項 | WESTERポイントでのみ購入可能 指定席は6回まで利用可能 指定席が満席の場合は立席が利用可能 || ねだん | 大人：110ポイント＋10,110円／小人：110ポイント＋5,110円 || 有効期間 | ３日間 || 発売期間 | 2025年9月1日～2025年12月23日 || 利用期間 | 2025年10月1日～2025年21月25日 || 発売箇所 | JRおでかけネット
限制事项: WESTERポイントでのみ購入可能 指定席は6回まで利用可能 指定席が満席の場合は立席が利用可能
相关信息: JRおでかけネット
咨询: ＪＲ西日本","大人：110ポイント＋10,110円／小人：110ポイント＋5,110円",,,,,,,,,,３日間,2025年9月1日～2025年12月23日,,2025年10月1日～2025年21月25日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest44.gif,,東海道新幹線山陽新幹線北陸新幹線在来線特急・急行快速・普通 グリーン車普通車指定普通車自由グランクラスグリーン車普通車指定普通車自由寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 －－－－×▲△○－－－－－－－－－ ○：乗車可 ▲：乗車券のみ有効 △：6回まで / ×：乗車不可 －：設定なし /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest45.htm | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=125000258,JRおでかけネット,,,,
