sortOrder,id,name_cn,description,price_adult_regular,price_adult_phone,price_child_regular,price_child_phone,price_over65,price_under25,price_under18,price_under15,price_free,bestFor,duration,validityPeriod_startDate,validityPeriod_endDate,validityPeriod_description,coverage_regions,coverage_map,targetAudience,trainTypes,officialLinks,purchaseLinks,category,popularity,isLimitedPeriod,ticket_note
1,kanto_1,都区内パス,"都区内パス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | 都区内パス || 利用可能設備 | 東海道新幹線東北・上越新幹線在来線特急・急行快速・普通東京モノレールりんかい線 のぞみひかり/こだまグリーンライナー指定自由 ×××▲▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：870円／小人：430円 || 有効期間 | １日間 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | フリー区間内の駅の指定席券売機、自動券売機 / モバイルSuicaアプリ
相关信息: ＪＲ東日本
咨询: ＪＲ東日本 TEL:",大人：870円／小人：430円,,,,,,,,,,１日間,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jreast17_1.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jreast17_2.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/tokyo02.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast17.gif,,東海道新幹線東北・上越新幹線在来線特急・急行快速・普通東京モノレールりんかい線 のぞみひかり/こだまグリーンライナー指定自由 ×××▲▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast17.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2485,フリー区間内の駅の指定席券売機、自動券売機 / モバイルSuicaアプリ,,,,
2,kanto_2,東京フリーきっぷ,"東京フリーきっぷ || 関連情報 | ＪＲ東日本 東京都交通局 東京地下鉄 || 問合わせ | 東京都交通局 TEL:03-5320-6075 / 東京メトロお客様センター TEL:03-3941-2004 || フリー区間 | 東京フリーきっぷ / || 利用可能設備 | 東海道新幹線東北新幹線 / 上越新幹線在来線 / 特急・急行快速・普通東京モノレールりんかい線 のぞみひかり / こだまグリーンライナー指定自由 ×▲▲▲▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 「のぞみ」は乗車不可。 || ねだん | 大人：1,720円／小人：860円 || 有効期間 | １日間 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | 都区内のＪＲ各駅、都営地下鉄各駅、東京地下鉄の定期券売場など
限制事项: 「のぞみ」は乗車不可。
相关信息: ＪＲ東日本 東京都交通局 東京地下鉄
咨询: 東京都交通局 TEL:03-5320-6075 / 東京メトロお客様センター TEL:03-3941-2004","大人：1,720円／小人：860円",,,,,,,,,,１日間,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/tokyo01.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/tokyofree.gif,,東海道新幹線東北新幹線 / 上越新幹線在来線 / 特急・急行快速・普通東京モノレールりんかい線 のぞみひかり / こだまグリーンライナー指定自由 ×▲▲▲▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/tokyo01.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2487 | http://www.kotsu.metro.tokyo.jp/subway/fare/otoku_free.html | https://www.tokyometro.jp/ticket/value/1day/index.html#anc03,都区内のＪＲ各駅、都営地下鉄各駅、東京地下鉄の定期券売場など,,,,
3,kanto_3,ヨコハマ・みなとみらいパス,"ヨコハマ・みなとみらいパス || 関連情報 | ＪＲ東日本 横浜高速鉄道 || 問合わせ || フリー区間 | / ヨコハマ・みなとみらいパス / || 利用可能設備 | 東海道新幹線東北・上越新幹線在来線特急・急行快速・普通みなとみらい線 のぞみひかり/こだまグリーンライナー指定自由 －－－▲▲▲▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：560円／小人：280円 || 有効期間 | １日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | フリー区間内の駅の指定席券売機、および一部駅の自動券売機 / モバイルSuicaアプリ
相关信息: ＪＲ東日本 横浜高速鉄道",大人：560円／小人：280円,,,,,,,,,,１日,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast18.gif,,東海道新幹線東北・上越新幹線在来線特急・急行快速・普通みなとみらい線 のぞみひかり/こだまグリーンライナー指定自由 －－－▲▲▲▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast18.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2483,フリー区間内の駅の指定席券売機、および一部駅の自動券売機 / モバイルSuicaアプリ,,,,
4,kanto_4,ぐんまワンデーローカルパス,"ぐんまワンデーローカルパス || 関連情報 | ＪＲ東日本 GunMaaS || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | / ぐんまワンデーローカルパス / / || 利用可能設備 | 東海道新幹線東北・上越新幹線在来線特急・急行快速・普通 のぞみひかり/こだまグリーンライナー指定自由 －－×▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | わたらせ渓谷鐵道トロッコ列車は利用不可 || ねだん | 大人：2,600円 小人：1,300円 || 有効期間 | １日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | GunMaaS
限制事项: わたらせ渓谷鐵道トロッコ列車は利用不可
相关信息: ＪＲ東日本 GunMaaS
咨询: ＪＲ東日本 TEL:","大人：2,600円 小人：1,300円",,,,,,,,,,１日,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jreast071.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast071.gif,,東海道新幹線東北・上越新幹線在来線特急・急行快速・普通 のぞみひかり/こだまグリーンライナー指定自由 －－×▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast071.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2989 | https://lp.g3m.jp/ | https://lp.g3m.jp/#ticket,GunMaaS,,,,
5,kanto_5,休日おでかけパス,"休日おでかけパス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本： || フリー区間 | 休日おでかけパス || 利用可能設備 | 東海道新幹線東北・上越新幹線在来線特急・急行快速・普通東京モノレールりんかい線 グリーンライナー指定自由 ×▲▲▲▲▲○○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 東海道新幹線には乗車できません。 || ねだん | 大人：2,950円／小人：1,470円 || 有効期間 | １日間 || 発売期間 | 通年 || 利用期間 | 土・休日 / 4月29日～5月5日,7月20日～8月31日,12月29日～1月3日 || 発売箇所 | フリー区間内の駅の指定席券売機
限制事项: 東海道新幹線には乗車できません。
相关信息: ＪＲ東日本
咨询: ＪＲ東日本：","大人：2,950円／小人：1,470円",,,,,,,,,,１日間,通年,,"土・休日 / 4月29日～5月5日,7月20日～8月31日,12月29日～1月3日",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jreast10.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast10.gif,,東海道新幹線東北・上越新幹線在来線特急・急行快速・普通東京モノレールりんかい線 グリーンライナー指定自由 ×▲▲▲▲▲○○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast10.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2490,フリー区間内の駅の指定席券売機,,,,
6,kanto_6,のんびりホリデーSuicaパス,"のんびりホリデーSuicaパス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本： || フリー区間 | のんびりホリデーSuicaパス || 利用可能設備 | 東海道新幹線東北・上越新幹線在来線特急・急行快速・普通東京モノレールりんかい線 グリーンライナー指定自由 ××▲▲▲▲○○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | Suica限定(ただし、定期券、モバイルSuicaは対象外）。 新幹線には乗車できない。 || ねだん | 大人：2,850円／小人：1,420円 / 新規購入の場合は別途保証金500円が必要 || 有効期間 | １日間 || 発売期間 | 通年 || 利用期間 | 土休日 および / 4月29日～5月5日 / 7月20日～8月31日 / 12月29日～1月3日の毎日 || 発売箇所 | フリー区間内の主な駅
限制事项: Suica限定(ただし、定期券、モバイルSuicaは対象外）。 新幹線には乗車できない。
相关信息: ＪＲ東日本
咨询: ＪＲ東日本：","大人：2,850円／小人：1,420円 / 新規購入の場合は別途保証金500円が必要",,,,,,,,,,１日間,通年,,土休日 および / 4月29日～5月5日 / 7月20日～8月31日 / 12月29日～1月3日の毎日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jreast12.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast09.gif,,東海道新幹線東北・上越新幹線在来線特急・急行快速・普通東京モノレールりんかい線 グリーンライナー指定自由 ××▲▲▲▲○○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast12.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2682,フリー区間内の主な駅,,,,
7,kanto_7,モノレール＆都区内パス,"モノレール＆都区内パス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | モノレール＆都区内パス || 利用可能設備 | 東海道新幹線東北・上越新幹線在来線特急・急行快速・普通東京モノレールりんかい線 のぞみひかり/こだまグリーンライナー指定自由 ×××▲▲▲▲○○× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | モバイルSuicaのみ || ねだん | 大人：1,450円 || 有効期間 | １日間 || 発売期間 | 土休日 および / 4月29日～5月5日 / 7月20日～8月31日 / 12月29日～1月3日の毎日 || 利用期間 | 土休日 および / 4月29日～5月5日 / 7月20日～8月31日 / 12月29日～1月3日の毎日 || 発売箇所 | モバイルSuica
限制事项: モバイルSuicaのみ
相关信息: ＪＲ東日本
咨询: ＪＲ東日本 TEL:","大人：1,450円",,,,,,,,,,１日間,土休日 および / 4月29日～5月5日 / 7月20日～8月31日 / 12月29日～1月3日の毎日,,土休日 および / 4月29日～5月5日 / 7月20日～8月31日 / 12月29日～1月3日の毎日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast37.gif,,東海道新幹線東北・上越新幹線在来線特急・急行快速・普通東京モノレールりんかい線 のぞみひかり/こだまグリーンライナー指定自由 ×××▲▲▲▲○○× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast37.htm | https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2846,モバイルSuica,,,,
8,kanto_8,ときわ路パス,"ときわ路パス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本 || フリー区間 | ときわ路パスエリア || 利用可能設備 | 東海道新幹線東北・上越新幹線在来線特急・急行快速・普通 グリーンライナー指定自由 －－▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 特急･急行列車は特急・急行券が必要です。 グリーン車はグリーン券、ライナーはライナー券が必要です。 || ねだん | 大人：2,330円／小人：630円 / || 有効期間 | １日 || 発売期間 | 【夏季】 2025年6月19日～2025年8月31日 / 【秋季】 2025年9月4日～2025年12月21日 / 【冬季】 2025年12月24日～2026年3月8日 / || 利用期間 | 【夏季】 2025年7月19日～2025年8月31日の土休日 / 【秋季】 2025年10月4日～2025年12月21日の土休日,2025年11月13日 / 【冬季】 2026年1月24日～2026年3月8日の土休日 / || 発売箇所 | フリー区間内のＪＲの主な駅 / Tabi-CONNECT
限制事项: 特急･急行列車は特急・急行券が必要です。 グリーン車はグリーン券、ライナーはライナー券が必要です。
相关信息: ＪＲ東日本
咨询: ＪＲ東日本","大人：2,330円／小人：630円 /",,,,,,,,,,１日,【夏季】 2025年6月19日～2025年8月31日 / 【秋季】 2025年9月4日～2025年12月21日 / 【冬季】 2025年12月24日～2026年3月8日 /,,"【夏季】 2025年7月19日～2025年8月31日の土休日 / 【秋季】 2025年10月4日～2025年12月21日の土休日,2025年11月13日 / 【冬季】 2026年1月24日～2026年3月8日の土休日 /",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jreast45.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast45.gif,,東海道新幹線東北・上越新幹線在来線特急・急行快速・普通 グリーンライナー指定自由 －－▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast45.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2960 | https://maas-portal.com/hitachinokunikiko/news/2161?utm_source=hkk_222&utm_medium=qr&utm_campaign=product,フリー区間内のＪＲの主な駅 / Tabi-CONNECT,,,,
9,kanto_9,ぐんまワンデーパス,"ぐんまワンデーパス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本 TEL: || フリー区間 | / ぐんまワンデーパス / / || 利用可能設備 | 東海道新幹線東北・上越新幹線在来線特急・急行快速・普通 のぞみひかり/こだまグリーンライナー指定自由 －－▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：2,670円 小人：1,330円 || 有効期間 | １日 || 発売期間 | 2022年3月22日～2024年3月31日 || 利用期間 | 2022年4月1日～2024年3月31日 || 発売箇所 | フリーエリア内のＪＲ東日本の主な駅の指定席券売機,みどりの窓口,主な旅行会社
相关信息: ＪＲ東日本
咨询: ＪＲ東日本 TEL:","大人：2,670円 小人：1,330円",,,,,,,,,,１日,2022年3月22日～2024年3月31日,,2022年4月1日～2024年3月31日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast71.gif,,東海道新幹線東北・上越新幹線在来線特急・急行快速・普通 のぞみひかり/こだまグリーンライナー指定自由 －－▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast71.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2795,"フリーエリア内のＪＲ東日本の主な駅の指定席券売機,みどりの窓口,主な旅行会社",,,,
10,kanto_10,サンキュー ちばフリーパス,"サンキュー ちばフリーパス || 関連情報 | ＪＲ東日本 || 問合わせ | ＪＲ東日本 || フリー区間 | サンキュー ちばフリーパス 九十九里鉄道バス東金駅～本須賀・白里 ほか（片貝線・豊海線） 千葉交通バスJR 成田駅西口～竜角寺台車庫 ジェイアールバス関東館山駅～潮留橋～安房神戸～安房自然村～フラワーパーク～長尾橋～野島埼灯台口～安房白浜 / 館山駅～城山公園前～西岬～洲の崎～伊戸～南房パラダイス / 八日市場駅～多古台 BT～成田空港～航空科学博物館～JR 成田駅 / 多古台 BT～佐原駅 館山日東バス館山駅～安房白浜（豊房線） / 館山駅～亀田病院（鴨川日東バスとの共同運行） / 館山駅～館山航空隊 鴨川日東バス亀田病院～平塚本郷 / 亀田病院～東京湾フェリー / 仁右衛門島入口～鴨川駅～鴨川シーワールド～天津駅～小湊駅～誕生寺入口 京成タクシー成田安食駅～竜角寺台車庫 期間限定周遊バス「房総さとやま GO」 / JR 久留里駅～養老渓谷駅～上総中野駅 || 利用可能設備 | 東海道新幹線東北・上越新幹線在来線特急・急行快速・普通 グリーンライナー指定自由 －－▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 特急･急行列車は特急・急行券が必要です。 グリーン車はグリーン券、ライナーはライナー券が必要です。 || ねだん | 大人：3,970円／小人：1,980円 || 有効期間 | 2日間 || 発売期間 | 2025年9月1日～2025年10月30日 / 2026年1月4日～2026年2月27日 || 利用期間 | 2025年9月1日～2025年10月31日 / 2026年1月4日～2026年2月28日 || 発売箇所 | フリー区間内のＪＲの主な駅
限制事项: 特急･急行列車は特急・急行券が必要です。 グリーン車はグリーン券、ライナーはライナー券が必要です。
相关信息: ＪＲ東日本
咨询: ＪＲ東日本","大人：3,970円／小人：1,980円",,,,,,,,,,2日間,2025年9月1日～2025年10月30日 / 2026年1月4日～2026年2月27日,,2025年9月1日～2025年10月31日 / 2026年1月4日～2026年2月28日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jreast46.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast46.gif,,東海道新幹線東北・上越新幹線在来線特急・急行快速・普通 グリーンライナー指定自由 －－▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast46.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2977,フリー区間内のＪＲの主な駅,,,,
