sortOrder,id,name_cn,description,price_adult_regular,price_adult_phone,price_child_regular,price_child_phone,price_over65,price_under25,price_under18,price_under15,price_free,bestFor,duration,validityPeriod_startDate,validityPeriod_endDate,validityPeriod_description,coverage_regions,coverage_map,targetAudience,trainTypes,officialLinks,purchaseLinks,category,popularity,isLimitedPeriod,ticket_note
1,sikoku_1,四国フリーきっぷ,"四国フリーきっぷ || 関連情報 | ＪＲ四国 || 問合わせ | ＪＲ四国 TEL: || フリー区間 | 四国フリーきっぷ / || 利用可能設備 | 在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車伊予灘ものがたりのグリーン個室普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲×▲○×▲▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：18,000円／小人：9,000円 / || 有効期間 | ３日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | JR四国の駅のみどりの窓口,みどりの券売機プラス / JR四国ツアー支店,四国内の主な旅行会社 / しこくスマートえきちゃん tabiwa しこくるり
相关信息: ＪＲ四国
咨询: ＪＲ四国 TEL:","大人：18,000円／小人：9,000円 /",,,,,,,,,,３日,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jrshikoku01.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrshikoku01.gif,,在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車伊予灘ものがたりのグリーン個室普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲×▲○×▲▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku01.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0002300 | https://shikokururi.com/ | https://www.jr-eki.com/smart-eki/ | https://www.jr-eki.com/ticket/brand/2-3V6,"JR四国の駅のみどりの窓口,みどりの券売機プラス / JR四国ツアー支店,四国内の主な旅行会社 / しこくスマートえきちゃん tabiwa しこくるり",,,,
2,sikoku_2,四国グリーン紀行,"四国グリーン紀行 || 関連情報 | ＪＲ四国 || 問合わせ | ＪＲ四国 TEL: || フリー区間 | 四国グリーン紀行 / || 利用可能設備 | 在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車伊予灘ものがたりのグリーン個室普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ○▲×○○×○▲○○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：23,000円 || 有効期間 | ４日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | JR四国の駅のみどりの窓口,みどりの券売機プラス,JR四国ツアー支店,四国内の主な旅行会社
相关信息: ＪＲ四国
咨询: ＪＲ四国 TEL:","大人：23,000円",,,,,,,,,,４日,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrshikoku02.gif,,在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車伊予灘ものがたりのグリーン個室普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ○▲×○○×○▲○○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku02.htm | https://www.jr-eki.com/ticket/brand/2-3UX,"JR四国の駅のみどりの窓口,みどりの券売機プラス,JR四国ツアー支店,四国内の主な旅行会社",,,,
3,sikoku_3,四万十・宇和海フリーきっぷ,"四万十・宇和海フリーきっぷ || 関連情報 | ＪＲ四国 土佐くろしお鉄道 || 問合わせ | ＪＲ四国 TEL: || フリー区間 | 四万十・宇和海フリーきっぷ / || 利用可能設備 | 在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲○×▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：4,100円／小人：2,050円 || 有効期間 | ３日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | ＪＲ四国の駅のみどりの窓口,みどりの券売機プラス,ワープ支店及び四国内の主な旅行会社 / 土佐くろしお鉄道の安芸,中村,宿毛駅 / 「しこくスマートえきちゃん」
相关信息: ＪＲ四国 土佐くろしお鉄道
咨询: ＪＲ四国 TEL:","大人：4,100円／小人：2,050円",,,,,,,,,,３日,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrsikoku11.gif,,在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲○×▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku11.htm | https://www.jr-eki.com/smart-eki/index.html | https://www.jr-eki.com/ticket/brand/2-5G4 | https://www.tosakuro.com/discounts-tickets,"ＪＲ四国の駅のみどりの窓口,みどりの券売機プラス,ワープ支店及び四国内の主な旅行会社 / 土佐くろしお鉄道の安芸,中村,宿毛駅 / 「しこくスマートえきちゃん」",,,,
4,sikoku_4,ことでん・JRくるり～んきっぷ,"ことでん･ＪＲくるり～んきっぷ || 関連情報 | ＪＲ四国 高松琴平電鉄 || 問合わせ | ＪＲ四国 TEL: || フリー区間 | / || 利用可能設備 | 在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲▲×▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：2,200円／小人：1,100円 || 有効期間 | １日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | ＪＲ四国 / みどりの窓口,みどりの券売機プラス,JR四国ツアー支店 / 高松琴平電鉄 / 高松築港,瓦町,栗林公園,琴電琴平,長尾,琴電志度 / 四国内の主な旅行会社 / 高松空港インフォメーションセンター / チケットアプリ「しこくスマートえきちゃん」
相关信息: ＪＲ四国 高松琴平電鉄
咨询: ＪＲ四国 TEL:","大人：2,200円／小人：1,100円",,,,,,,,,,１日,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jrshikoku08.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrshikoku08.gif,,在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲▲×▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku08.htm | http://www.jr-eki.com/ticket/brand/1-5EG | http://www.kotoden.co.jp/publichtm/kotoden/ticket/kururin.htm | https://www.jr-eki.com/smart-eki/index.html,"ＪＲ四国 / みどりの窓口,みどりの券売機プラス,JR四国ツアー支店 / 高松琴平電鉄 / 高松築港,瓦町,栗林公園,琴電琴平,長尾,琴電志度 / 四国内の主な旅行会社 / 高松空港インフォメーションセンター / チケットアプリ「しこくスマートえきちゃん」",,,,
5,sikoku_5,内子・大洲町並散策１日パス,"内子・大洲町並散策１日パス || 関連情報 | ＪＲ四国 || 問合わせ | ＪＲ四国 TEL: || フリー区間 || 利用可能設備 | 在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲▲○×▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：4,000円／小人：2,000円 / || 有効期間 | １日 || 発売期間 | 通年 || 利用期間 | 通年 || 発売箇所 | JR四国の駅のみどりの窓口,みどりの券売機プラス,ＪＲ四国ツアー支店,四国内の主な旅行会社 / 【道後温泉】 / 大和屋本店,道後舘,道後プリンスホテル,道後グランドホテル / 【チケットアプリ】 / 「しこくスマートえきちゃん」,Klook（クルック）
相关信息: ＪＲ四国
咨询: ＪＲ四国 TEL:","大人：4,000円／小人：2,000円 /",,,,,,,,,,１日,通年,,通年,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrshikoku13.gif,,在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲▲○×▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku13.htm | https://www.jr-eki.com/smart-eki/index.html | https://www.jr-eki.com/ticket/brand/1-5FK | https://www.klook.com/ja/activity/136471-jr-shikoku-digital-pass-uchiko-ozu-pass/,"JR四国の駅のみどりの窓口,みどりの券売機プラス,ＪＲ四国ツアー支店,四国内の主な旅行会社 / 【道後温泉】 / 大和屋本店,道後舘,道後プリンスホテル,道後グランドホテル / 【チケットアプリ】 / 「しこくスマートえきちゃん」,Klook（クルック）",,,,
6,sikoku_6,週末乗り放題きっぷ,"週末乗り放題きっぷ || 関連情報 | ＪＲ四国 || 問合わせ | ＪＲ四国 TEL: || フリー区間 | / || 利用可能設備 | 在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車伊予灘ものがたりのグリーン個室普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲×▲○×▲▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：12,000円／小人：6,000円 / || 有効期間 | １日 || 発売期間 | 通年 || 利用期間 | 土・日・祝日と12/31,1/2.1/3 || 発売箇所 | JR四国の駅のみどりの窓口,みどりの券売機プラス / JR四国ツアー支店,四国内の主な旅行会社 / 「しこくスマートえきちゃん」
相关信息: ＪＲ四国
咨询: ＪＲ四国 TEL:","大人：12,000円／小人：6,000円 /",,,,,,,,,,１日,通年,,"土・日・祝日と12/31,1/2.1/3",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrshikoku01.gif,,在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車伊予灘ものがたりのグリーン個室普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲×▲○×▲▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku03.htm | https://www.jr-eki.com/smart-eki | https://www.jr-eki.com/ticket/brand/2-3VQ,"JR四国の駅のみどりの窓口,みどりの券売機プラス / JR四国ツアー支店,四国内の主な旅行会社 / 「しこくスマートえきちゃん」",,,,
7,sikoku_7,四国再発見早トクきっぷ,"四国再発見早トクきっぷ || 関連情報 | ＪＲ四国 || 問合わせ | ＪＲ四国 TEL: || フリー区間 | / || 利用可能設備 | 在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車伊予灘ものがたりのグリーン個室普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ×××××××▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：2,400円／小人：1,200円 / || 有効期間 | 1日 || 発売期間 | 通年 || 利用期間 | 土,日,祝日,国民の休日,振替休日 || 発売箇所 | JR四国の駅のみどりの窓口,みどりの券売機プラス / JR四国ツアー支店,四国内の主な旅行会社 / 「しこくスマートえきちゃん」
相关信息: ＪＲ四国
咨询: ＪＲ四国 TEL:","大人：2,400円／小人：1,200円 /",,,,,,,,,,1日,通年,,"土,日,祝日,国民の休日,振替休日",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrshikoku01.gif,,在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車伊予灘ものがたりのグリーン個室普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ×××××××▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku16.htm | http://www.jr-eki.com/service_ticket/htm/shikoku/saihakken-re.htm | https://www.jr-eki.com/smart-eki,"JR四国の駅のみどりの窓口,みどりの券売機プラス / JR四国ツアー支店,四国内の主な旅行会社 / 「しこくスマートえきちゃん」",,,,
8,sikoku_8,バースデイきっぷ,"バースディきっぷ || 関連情報 | グリーン車用：ＪＲ四国 自由席用：ＪＲ四国 / || 問合わせ | ＪＲ四国 TEL: || フリー区間 | / || 利用可能設備 | 券種在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車普通車指定普通車自由グリーン車ライナー指定自由高速バス路線バス グリーン車用○▲○○×○▲○○×○ 自由席用▲▲▲○×▲▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 誕生月に利用可能。購入時に誕生日が証明できる身分証明書が必要。同行者は３名迄利用可能。「ご本人様用」の利用者と同一行程の利用に限る。 || ねだん | グリーン車用 大人：15,000円 / 自由席用 大人：12,000円／小人：6,000円 / || 有効期間 | ３日間 || 発売期間 | ～2027年3月31日 || 利用期間 | ～2027年4月2日 || 発売箇所 | JR四国の駅のみどりの窓口,みどりの券売機プラス / ＪＲ四国ツアー支店,四国内の主な旅行会社
限制事项: 誕生月に利用可能。購入時に誕生日が証明できる身分証明書が必要。同行者は３名迄利用可能。「ご本人様用」の利用者と同一行程の利用に限る。
相关信息: グリーン車用：ＪＲ四国 自由席用：ＪＲ四国 /
咨询: ＪＲ四国 TEL:","グリーン車用 大人：15,000円 / 自由席用 大人：12,000円／小人：6,000円 /",,,,,,,,,,３日間,～2027年3月31日,,～2027年4月2日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jrsikoku01.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrshikoku02.gif,,券種在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車ものがたり列車普通車指定普通車自由グリーン車ライナー指定自由高速バス路線バス グリーン車用○▲○○×○▲○○×○ 自由席用▲▲▲○×▲▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku06.htm | https://www.jr-eki.com/ticket/brand/2-3WM | https://www.jr-eki.com/ticket/brand/2-3WN,"JR四国の駅のみどりの窓口,みどりの券売機プラス / ＪＲ四国ツアー支店,四国内の主な旅行会社",,,,
9,sikoku_9,徳島・室戸・高知55フリーきっぷ,"徳島・室戸・高知55フリーきっぷ || 関連情報 | ＪＲ四国 || 問合わせ | ＪＲ四国電話案内センター TEL:0570-00-4592 || フリー区間 | 四国みぎした55フリーきっぷ / || 利用可能設備 | 在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲○×▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | DMVは座席の事前予約はできない。 DMVの土日祝日運行の室戸便は利用できない。 || ねだん | 大人：5,800円／小人：2,900円 || 有効期間 | ３日間 || 発売期間 | ～2027年3月31日 || 利用期間 | ～2027年4月2日 || 発売箇所 | JR四国の駅のみどりの窓口,みどりの券売機プラス / ＪＲ四国ツアー支店,四国内の主な旅行会社 / 阿佐海岸鉄道：宍喰駅 / 土佐くろしお鉄道：のいち駅,安芸駅 / 奈半利駅物産館「無花果」 / 高知龍馬空港総合案内所 / 「しこくスマートえきちゃん」
限制事项: DMVは座席の事前予約はできない。 DMVの土日祝日運行の室戸便は利用できない。
相关信息: ＪＲ四国
咨询: ＪＲ四国電話案内センター TEL:0570-00-4592","大人：5,800円／小人：2,900円",,,,,,,,,,３日間,～2027年3月31日,,～2027年4月2日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrshikoku87.gif,,在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲○×▲▲▲○×× ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku87.htm | https://www.jr-eki.com/smart-eki/index.html | https://www.jr-eki.com/ticket/brand/2-5HA,"JR四国の駅のみどりの窓口,みどりの券売機プラス / ＪＲ四国ツアー支店,四国内の主な旅行会社 / 阿佐海岸鉄道：宍喰駅 / 土佐くろしお鉄道：のいち駅,安芸駅 / 奈半利駅物産館「無花果」 / 高知龍馬空港総合案内所 / 「しこくスマートえきちゃん」",,,,
10,sikoku_10,スマえき若者限定四国フリーきっぷ【年齢制限】,"スマえき若者限定四国フリーきっぷ || 関連情報 | ＪＲ四国 || 問合わせ | ＪＲ四国 TEL: || フリー区間 | スマえき若者限定四国フリーきっぷ / || 利用可能設備 | 在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲○×▲▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 購入時に満25歳以下で、生年月日を確認できる公的証明書(学生証等)が必要。 乗車時は年齢を確認できる公的証明書を携帯のこと。 || ねだん | 12,000円 || 有効期間 | ３日間 || 発売期間 | 2026年2月21日～2026年4月8日 / 2026年6月18日～2026年9月11日 / 2026年11月11日～2027年1月9日 || 利用期間 | 2026年3月1日～2026年4月10日 / 2026年7月18日～2026年9月13日 / 2026年8月7日～2026年8月16日を除く / 2026年12月11日～2027年1月11日 / 2026年12月23日～2027年1月4日を除く || 発売箇所 | しこくスマートえきちゃん
限制事项: 購入時に満25歳以下で、生年月日を確認できる公的証明書(学生証等)が必要。 乗車時は年齢を確認できる公的証明書を携帯のこと。
相关信息: ＪＲ四国
咨询: ＪＲ四国 TEL:","12,000円",,,,,,,,,,３日間,2026年2月21日～2026年4月8日 / 2026年6月18日～2026年9月11日 / 2026年11月11日～2027年1月9日,,2026年3月1日～2026年4月10日 / 2026年7月18日～2026年9月13日 / 2026年8月7日～2026年8月16日を除く / 2026年12月11日～2027年1月11日 / 2026年12月23日～2027年1月4日を除く,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrshikoku01.gif,,在来線特急列車サンライズ瀬戸号快速・普通ＪＲ四国バス グリーン車普通車指定普通車自由グリーンライナー指定自由高速バス路線バス ▲▲○×▲▲▲○×○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrsikoku81.htm | https://www.jr-eki.com/smart-eki/index.html | https://www.jr-eki.com/ticket/brand/2-3XF,しこくスマートえきちゃん,,,,
