sortOrder,id,name_cn,description,price_adult_regular,price_adult_phone,price_child_regular,price_child_phone,price_over65,price_under25,price_under18,price_under15,price_free,bestFor,duration,validityPeriod_startDate,validityPeriod_endDate,validityPeriod_description,coverage_regions,coverage_map,targetAudience,trainTypes,officialLinks,purchaseLinks,category,popularity,isLimitedPeriod,ticket_note
1,tyugoku_1,岡山・香川ワイドパス,"岡山・香川ワイドパス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 岡山・香川ワイドパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通 サンライズ瀬戸グリーン指定自由ライナーグリーン指定自由 ×■▲▲○▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / ■：「のびのび座席」利用時は乗車券のみ有効、他の施設は乗車不可 / || 制限事項 || ねだん | 大人：3,600円／小人：1,800円 || 有効期間 | ３日間 || 発売期間 | 2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売 || 利用期間 | 2026年4月1日～2027年4月2日 || 発売箇所 | tabiwa
相关信息: tabiwa
咨询: ＪＲ西日本 TEL:","大人：3,600円／小人：1,800円",,,,,,,,,,３日間,2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売,,2026年4月1日～2027年4月2日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest79.gif,,新幹線在来線特急・急行快速・普通 サンライズ瀬戸グリーン指定自由ライナーグリーン指定自由 ×■▲▲○▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / ■：「のびのび座席」利用時は乗車券のみ有効、他の施設は乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest79.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0000900,tabiwa,,,,
2,tyugoku_2,岡山ワイドパス,"岡山ワイドパス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 岡山ワイドパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：4,300円／小人：2,150円 || 有効期間 | 3日間 || 発売期間 | 2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売 || 利用期間 | 2026年4月1日～2027年4月2日 || 発売箇所 | tabiwa
相关信息: tabiwa
咨询: ＪＲ西日本 TEL:","大人：4,300円／小人：2,150円",,,,,,,,,,3日間,2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売,,2026年4月1日～2027年4月2日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest66.gif,,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest66.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0000700,tabiwa,,,,
3,tyugoku_3,せとうちパス,"せとうちパス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | せとうちパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×－×××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：3,240円／小人：1,620円 || 有効期間 | 2日間 || 発売期間 | 2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売 || 利用期間 | 2026年4月1日～2027年4月1日 || 発売箇所 | tabiwa
相关信息: tabiwa
咨询: ＪＲ西日本 TEL:","大人：3,240円／小人：1,620円",,,,,,,,,,2日間,2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売,,2026年4月1日～2027年4月1日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest49.gif,,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×－×××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest49.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0000300,tabiwa,,,,
4,tyugoku_4,岡山・倉敷tabiwaぐるりんパス,"岡山・倉敷tabiwaぐるりんパス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 岡山・倉敷tabiwaぐるりんパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：3,800円／小人：1,750円 || 有効期間 | 2日間 || 発売期間 | 2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売 || 利用期間 | 2026年4月1日～2027年4月2日 || 発売箇所 | tabiwa /
相关信息: tabiwa
咨询: ＪＲ西日本 TEL:","大人：3,800円／小人：1,750円",,,,,,,,,,2日間,2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売,,2026年4月1日～2027年4月2日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest68.gif,,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest68.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0002400,tabiwa /,,,,
5,tyugoku_5,井原・岡山周遊パス,"井原・岡山周遊パス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本： || フリー区間 | 井原・岡山周遊パス || 利用可能設備 | 東海道新幹線山陽新幹線北陸新幹線在来線特急・急行快速・普通 グリーン車普通車指定普通車自由グランクラスグリーン車普通車指定普通車自由寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 ××××××××××▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：2,500円／小人：1,250円 || 有効期間 | 1日間 || 発売期間 | 2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売 || 利用期間 | 2026年4月1日～2027年3月31日 || 発売箇所 | tabiwa
相关信息: tabiwa
咨询: ＪＲ西日本：","大人：2,500円／小人：1,250円",,,,,,,,,,1日間,2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売,,2026年4月1日～2027年3月31日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest166.gif,,東海道新幹線山陽新幹線北陸新幹線在来線特急・急行快速・普通 グリーン車普通車指定普通車自由グランクラスグリーン車普通車指定普通車自由寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 ××××××××××▲▲▲▲▲▲○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest166.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0001000,tabiwa,,,,
6,tyugoku_6,広島ワイドパス,"広島ワイドパス || 関連情報 | tabiwa / || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 広島ワイドパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－×▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：4,400円／小人：2,200円 || 有効期間 | 3日間 || 発売期間 | 2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売 || 利用期間 | 2026年4月1日～2027年4月2日 || 発売箇所 | tabiwa
相关信息: tabiwa /
咨询: ＪＲ西日本 TEL:","大人：4,400円／小人：2,200円",,,,,,,,,,3日間,2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売,,2026年4月1日～2027年4月2日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest61.gif,,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－×▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest61.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0000000,tabiwa,,,,
7,tyugoku_7,宮島・瀬戸内tabiwaぐるりんパス,"宮島・瀬戸内tabiwaぐるりんパス || 関連情報 | tabiwa / || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 宮島・瀬戸内tabiwaぐるりんパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－×▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：4,100円／小人：2,150円 || 有効期間 | 3日間 || 発売期間 | 2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売 || 利用期間 | 2026年4月1日～2027年4月2日 || 発売箇所 | tabiwa
相关信息: tabiwa /
咨询: ＪＲ西日本 TEL:","大人：4,100円／小人：2,150円",,,,,,,,,,3日間,2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売,,2026年4月1日～2027年4月2日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest62.gif,,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－×▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest62.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0000100,tabiwa,,,,
8,tyugoku_8,広島・松山周遊パス,"広島・松山周遊パス || 関連情報 | tabiwa by WESTER / || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 広島・松山周遊パス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－×▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 瀬戸内海汽船・石崎汽船【呉港～松山観光港】 / 往路・復路共に各1回利用可 / スーパージェット・フェリーいずれも利用可 / 広島港～呉港間を乗船の場合は現地で差額(現金のみ)の支払いが必要 || ねだん | 大人：14,500円／小人：7,250円 || 有効期間 | ３日間 || 発売期間 | 2025年8月1日～2025年12月29日 || 利用期間 | 2025年8月2日～2025年12月31日 || 発売箇所 | tabiwa by WESTER
限制事项: 瀬戸内海汽船・石崎汽船【呉港～松山観光港】 / 往路・復路共に各1回利用可 / スーパージェット・フェリーいずれも利用可 / 広島港～呉港間を乗船の場合は現地で差額(現金のみ)の支払いが必要
相关信息: tabiwa by WESTER /
咨询: ＪＲ西日本 TEL:","大人：14,500円／小人：7,250円",,,,,,,,,,３日間,2025年8月1日～2025年12月29日,,2025年8月2日～2025年12月31日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest301.gif,,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－×▲○○ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest301.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=JK203500,tabiwa by WESTER,,,,
9,tyugoku_9,山口セントラルパス,"山口セントラルパス || 関連情報 | tabiwa / || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 山口セントラルパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：3,500円／小人：1,750円 || 有効期間 | 2日間 || 発売期間 | 2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売 || 利用期間 | 2026年4月1日～2027年4月1日 || 発売箇所 | tabiwa
相关信息: tabiwa /
咨询: ＪＲ西日本 TEL:","大人：3,500円／小人：1,750円",,,,,,,,,,2日間,2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売,,2026年4月1日～2027年4月1日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest69.gif,,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×××××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest69.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0000500,tabiwa,,,,
10,tyugoku_10,下関・長門tabiwaぐるりんパス,"下関・長門tabiwaぐるりんパス || 関連情報 | tabiwa || 問合わせ | ＪＲ西日本 TEL: || フリー区間 | 下関・長門tabiwaぐるりんパス || 利用可能設備 | 新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×－×××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 || ねだん | 大人：3,500円／小人：1,750円 || 有効期間 | 2日間 || 発売期間 | 2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売 || 利用期間 | 2026年4月1日～2027年4月1日 || 発売箇所 | tabiwa
相关信息: tabiwa
咨询: ＪＲ西日本 TEL:","大人：3,500円／小人：1,750円",,,,,,,,,,2日間,2026年3月1日～2027年3月31日 / 利用開始日の1ヵ月前から当日までの発売,,2026年4月1日～2027年4月1日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jrwest58.gif,,新幹線在来線特急・急行快速・普通宮島フェリー サンライズ出雲グリーン指定自由ライナーグリーン指定自由 ×－×××－▲▲○－ ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest58.htm | https://app.tabi-wester.westjr.co.jp/eticketDetails?ticket_id=J0000600,tabiwa,,,,
